参考资料	阮桂君《五峰方言研究》	
嘼	ʦʰu13	
埱	ʦʰu13	
慉	ʦʰu13	
憷	ʦʰu13	
敊	ʦʰu13	
歜	ʦʰu13	
珿	ʦʰu13	
臅	ʦʰu13	
菆	ʦʰu13	
豖	ʦʰu13	
鄐	ʦʰu13	
㙇	ʦʰu13	
䜴	ʦʰu13	
𢒔	ʦʰu13	
𣥹	ʦʰu13	
𨴖	ʦʰu13	
䙕	ʦʰu13	
𦺵	ʦʰu13	
𦰨	ʦʰu13	
斶	ʦʰu13	
諔	ʦʰu13	
閦	ʦʰu13	
𨳖	ʦʰu13	
𨴟	ʦʰu13	
𨴠	ʦʰu13	
𨴧	ʦʰu13	
𨴳	ʦʰu13	
𨴰	ʦʰu13	
䇍	ʦʰu13	
𥒭	ʦʰu13	
𧽧	ʦʰu13	
𠇘	ʦʰu13	
𡳑	ʦʰu13	
𡹧	ʦʰu13	
𢒓	ʦʰu13	
𤛅	ʦʰu13	
𤠕	ʦʰu13	
𤰸	ʦʰu13	
𠬀	ʦʰu13	
㾥	ʦʰu13	
𨃕	ʦʰu13	
𨕢	ʦʰu13	
𩹱	ʦʰu13	
𨴨	ʦʰu13	
𥁯	ʦʰu13	
𧃏	ʦʰu13	
𧢶	ʦʰu13	
𧢻	ʦʰu13	
𧣈	ʦʰu13	
𧥘	ʦʰu13	
𨞕	ʦʰu13	
𡝈	ʦʰu13	
𡟌	ʦʰu13	
𪈺	ʦʰu13	
𧰫	ʦʰu13	
𨁿	ʦʰu13	
𩈤	ʦʰu13	
𫏔	ʦʰu13	
𪽧	ʦʰu13	
㘜	ʦʰu13	
竐	ʦʰu13	
㗰	ʦʰu13	
𤏱	ʦʰu13	
𡐌	ʦʰu13	
𨷌	ʦʰu13	
𣲇	ʦʰu13	
出	ʦʰu13	
齣	ʦʰu13	
出	ʦʰu13	
𫠚	ʦʰu13	
岀	ʦʰu13	
㞮	ʦʰu13	
𠰕	ʦʰu13	
𢇿	ʦʰu13	
𣭑	ʦʰu13	
𩨸	ʦʰu13	
䢺	ʦʰu13	
廚	ʦʰu13	
櫥	ʦʰu13	
櫉	ʦʰu13	
躕	ʦʰu13	
𨆼	ʦʰu13	
滁	ʦʰu13	
𢲢	ʦʰu13	
幮	ʦʰu13	
㡡	ʦʰu13	
篨	ʦʰu13	
蒢	ʦʰu13	
藸	ʦʰu13	
蕏	ʦʰu13	
蜍	ʦʰu13	
趎	ʦʰu13	
蠩	ʦʰu13	
㶆	ʦʰu13	
𫞛	ʦʰu13	
㾻	ʦʰu13	
跦	ʦʰu13	
䠧	ʦʰu13	
𦿀	ʦʰu13	
䎤	ʦʰu13	
𪶢	ʦʰu13	
稌	ʦʰu13	
𥺌	ʦʰu13	
䏭	ʦʰu13	
𨅒	ʦʰu13	
墸	ʦʰu13	
㕏	ʦʰu13	
㕑	ʦʰu13	
䎝	ʦʰu13	
䟞	ʦʰu13	
𠀺	ʦʰu13	
𢣵	ʦʰu13	
𣦡	ʦʰu13	
𣦈	ʦʰu13	
𣦠	ʦʰu13	
𦔁	ʦʰu13	
𧔋	ʦʰu13	
蟵	ʦʰu13	
𡐷	ʦʰu13	
𥱥	ʦʰu13	
儲	ʦʰu13	
䊰	ʦʰu13	
怵	ʦʰu13	
絀	ʦʰu13	
欪	ʦʰu13	
泏	ʦʰu13	
炪	ʦʰu13	
㤕	ʦʰu13	
䟣	ʦʰu13	
𧺶	ʦʰu13	
𣢶	ʦʰu13	
㔘	ʦʰu13	
𪐽	ʦʰu13	
𪫟	ʦʰu13	
𡮖	ʦʰu13	
楚	ʦʰu42	
杵	ʦʰu42	
处	ʦʰu42	
礎	ʦʰu42	
础	ʦʰu42	
齭	ʦʰu42	
齼	ʦʰu42	
憷	ʦʰu42	
濋	ʦʰu42	
䙘	ʦʰu42	
𪓐	ʦʰu42	
椘	ʦʰu42	
檚	ʦʰu42	
𣕑	ʦʰu42	
𣗂	ʦʰu42	
𤻇	ʦʰu42	
𥕩	ʦʰu42	
𧯴	ʦʰu42	
𨼪	ʦʰu42	
𪲡	ʦʰu42	
䠂	ʦʰu42	
𪘷	ʦʰu42	
璴	ʦʰu42	
𠪴	ʦʰu42	
𡢟	ʦʰu42	
𨭣	ʦʰu42	
處	ʦʰu42	
処	ʦʰu42	
褚	ʦʰu42	
禇	ʦʰu42	
楮	ʦʰu42	
䖏	ʦʰu42	
㹼	ʦʰu42	
𠇪	ʦʰu42	
𠇫	ʦʰu42	
𠧖	ʦʰu42	
𢕓	ʦʰu42	
𧎷	ʦʰu42	
𩂭	ʦʰu42	
醋	ʦʰu35	
著	ʦʰu35	又读
处	ʦʰu35	
處	ʦʰu35	
処	ʦʰu35	
𢨸	ʦʰu35	
𨳳	ʦʰu35	
䧁	ʦʰu35	
竌	ʦʰu35	
䦌	ʦʰu35	
𢨫	ʦʰu35	
𠁅	ʦʰu35	
𠙚	ʦʰu35	
𧆵	ʦʰu35	
𩂜	ʦʰu35	
𩂫	ʦʰu35	
𩂭	ʦʰu35	
𧇤	ʦʰu35	
𢣿	ʦʰu35	
䮞	ʦʰu35	
𩨁	ʦʰu35	
𧊃	ʦʰu35	
𧐪	ʦʰu35	
𢳵	ʦʰu35	
𣊑	ʦʰu35	
𠘫	ʦʰu35	
𠘰	ʦʰu35	
𦚅	ʦʰu35	
苏	su55	
酥	su55	
蔬	su55	
书	su55	
舒	su55	
枢	su55	
输	su55	
殊	su55	
抒	su55	
纾	su55	
梳	su55	
疏	su55	
姝	su55	
書	su55	
輸	su55	
樞	su55	
忬	su55	
悆	su55	
捈	su55	
攄	su55	
摅	su55	
杸	su55	
殳	su55	
瑹	su55	
紓	su55	
緰	su55	
鄃	su55	
陎	su55	
鵨	su55	
㸡	su55	
㼡	su55	
𠘧	su55	
𢎦	su55	
𦤂	su55	
𦺗	su55	
𨛭	su55	
𩪍	su55	
䋒	su55	
䋡	su55	
軗	su55	
䧾	su55	
𠙎	su55	
𡚾	su55	
𧘣	su55	
𡥛	su55	
𪠲	su55	
𡧔	su55	
𧊠	su55	
𧍳	su55	
𦐣	su55	
𦘠	su55	
𦶕	su55	
𦹍	su55	
𨥤	su55	
𩳅	su55	
𪅰	su55	
𪟺	su55	
𥳕	su55	
𣭴	su55	
𣭵	su55	
𣰎	su55	
𩛅	su55	
瀭	su55	
𢄮	su55	
𪹊	su55	
𪳛	su55	
𪅒	su55	
𦥌	su55	
𣑓	su55	
𣝰	su55	
𣥵	su55	
𧦃	su55	
橾	su55	
疋	su55	
疎	su55	
綀	su55	
踈	su55	
㡏	su55	
䟽	su55	
𤕟	su55	
𥿇	su55	
㧧	su55	
𣐌	su55	
𤴜	su55	
𣙳	su55	
𨘖	su55	
䔫	su55	
𤴙	su55	
𦠦	su55	
𤱐	su55	
㽰	su55	
𣉛	su55	
𣓜	su55	
𣦚	su55	
𤕠	su55	
𦈷	su55	
𧠣	su55	
𫇎	su55	
𡛫	su55	
𡊕	su55	
𡶕	su55	
𩯕	su55	
毹	su55	
𣮵	su55	
𣯁	su55	
速	su13	
肃	su13	
宿	su13	
缩	su13	
粟	su13	
俗	su13	
续	su13	
夙	su13	
诉	su13	
塑	su13	
术	su13	
述	su13	
秫	su13	
叔	su13	
淑	su13	
赎	su13	
束	su13	
蜀	su13	
属	su13	
孰	su13	
塾	su13	
熟	su13	
戍	su13	
墅	su13	
菽	su13	
倏	su13	
倐	su13	
儵	su13	
婌	su13	
掓	su13	
琡	su13	
跾	su13	
鮛	su13	
𢞣	su13	
𨁀	su13	
𠁮	su13	
𠦑	su13	
𠭓	su13	
𡬟	su13	
𡬧	su13	
𡭫	su13	
𥸩	su13	
焂	su13	
𣻪	su13	
㑐	su13	
㳤	su13	
䨹	su13	
䱙	su13	
𠈒	su13	
𠊅	su13	
𠐃	su13	
𡤥	su13	
𢿅	su13	
𤟏	su13	
𦭊	su13	
𩷌	su13	
𪫥	su13	
𥊝	su13	
𥅿	su13	
𦍄	su13	
贖	su13	
尗	su13	
𧸏	su13	
𧹎	su13	
璹	su13	
䃞	su13	
䴰	su13	
𨷙	su13	
䝪	su13	
䭭	su13	
𠅩	su13	
𠅶	su13	
𩪿	su13	
𡒒	su13	
𡙰	su13	
𡦦	su13	
𤍨	su13	
𤎼	su13	
𤒒	su13	
𨶝	su13	
𡦛	su13	
𧇝	su13	
𡏜	su13	
𢆑	su13	
𢢱	su13	
𢧇	su13	
𣤯	su13	
𣷕	su13	
𤩈	su13	
𠩱	su13	
𤩇	su13	
𤩉	su13	
𦯂	su13	
𧺱	su13	
𪌙	su13	
𡜔	su13	
𡞽	su13	
𪜟	su13	
𫃬	su13	
𨄡	su13	
𢉌	su13	
𥚔	su13	
𥟧	su13	
𥺱	su13	
𨸽	su13	
𨺏	su13	
屬	su13	
襡	su13	
襩	su13	
㒔	su13	
㻿	su13	
䟉	su13	
㯮	su13	
䞖	su13	
䙱	su13	
𧜭	su13	
薥	su13	
𡱄	su13	
𡱆	su13	
𡲇	su13	
𣀻	su13	
𥣋	su13	
𦉶	su13	
𧁿	su13	
𧟅	su13	
䠱	su13	
𨅛	su13	
𣀼	su13	
𩁍	su13	
𪅱	su13	
𥢘	su13	
𪦨	su13	
𪯁	su13	
𫈖	su13	
虪	su13	
㶖	su13	
𤙨	su13	
䜹	su13	
𪌶	su13	
𧇐	su13	
𨤨	su13	
𣠆	su13	
𥤕	su13	
𨌛	su13	
𣙈	su13	
𤖂	su13	
𫇎	su13	
𡦚	su13	
𤶬	su13	
𡝁	su13	
𠭄	su13	
𣒚	su13	
𣒛	su13	
𢳪	su13	
朮	su13	
蒣	su13	
𩢻	su13	
𥝰	su13	
𥟲	su13	
術	su13	
沭	su13	
蒁	su13	
𦳯	su13	
㾁	su13	
䆝	su13	
𥞃	su13	
鉥	su13	
𬬸	su13	
錰	su13	
怷	su13	
怸	su13	
鶐	su13	
𡊍	su13	
䘤	su13	
䢞	su13	
䢤	su13	
𠰲	su13	
𫐠	su13	
𣻚	su13	
𤗪	su13	
𤘷	su13	
𧗱	su13	
𧗷	su13	
𤴷	su13	
𫀦	su13	
𨩔	su13	
𨫨	su13	
𩿯	su13	
暑	su42	
鼠	su42	
黍	su42	
曙	su42	
署	su42	
薯	su42	
數	su42	
数	su42	
𡢏	su42	
𢿘	su42	
𢿙	su42	
𣀭	su42	
𢾗	su42	
籔	su42	
䉤	su42	
䝪	su42	
䩳	su42	
𧶳	su42	
𩌱	su42	
㟬	su42	
糬	su42	
𧑓	su42	
䑕	su42	
𦥩	su42	
𠏙	su42	
𠝈	su42	
𣆎	su42	
𣆨	su42	
𣇑	su42	
𤔆	su42	
𥌓	su42	
龧	su42	
𨽉	su42	
𦋧	su42	
𡤽	su42	
𢋂	su42	
𤻃	su42	
𥍝	su42	
蠴	su42	
𦾧	su42	
𦿫	su42	
𦺪	su42	
𧂤	su42	
𥞆	su42	
𥞫	su42	
潻	su42	
𧉷	su42	
𧒁	su42	
𧒑	su42	
𤢡	su42	
𥣅	su42	
鱪	su42	
鱰	su42	
素	su35	
诉	su35	
庶	su35	
恕	su35	
竖	su35	
树	su35	
漱	su35	
数	su35	
樹	su35	
豎	su35	
竪	su35	
侸	su35	
兪	su35	
俞	su35	
咰	su35	
尌	su35	
澍	su35	
腧	su35	
裋	su35	
隃	su35	
霔	su35	
䩱	su35	
㲓	su35	
㵂	su35	
䠼	su35	
𠊪	su35	
𢉙	su35	
𦒸	su35	
𧼯	su35	
䎉	su35	
謶	su35	
庻	su35	
鏣	su35	
濖	su35	
𧞫	su35	
𧞀	su35	
𧜶	su35	
𠐊	su35	
㒘	su35	
㑠	su35	
㣽	su35	
㷂	su35	
𤈳	su35	
䉀	su35	
䜿	su35	
䝂	su35	
𥪡	su35	
𥪛	su35	
𤈲	su35	
𠩽	su35	
𠪌	su35	
𠪛	su35	
𠪜	su35	
𠪤	su35	
𢉍	su35	
𠦜	su35	
𧭧	su35	
𠾢	su35	
𡔪	su35	
𡣈	su35	
𡬾	su35	
𢒳	su35	
𣑣	su35	
𣕒	su35	
𣗳	su35	
𣚤	su35	
𧯴	su35	
㜐	su35	
𫝧	su35	
㛸	su35	
𡊹	su35	
𥌚	su35	
𣤯	su35	
𦒶	su35	
𦒲	su35	
𧙠	su35	
𨅒	su35	
𨔦	su35	
𡑀	su35	
𤍓	su35	
𤝩	su35	
𤞉	su35	
𤞎	su35	
𤡒	su35	
𣏗	su35	
㴻	su35	
𩆩	su35	
𪷏	su35	
𪐧	su35	
𡋊	su35	
𡎃	su35	
𠼄	su35	
𣑗	su35	
𫓄	su35	
𪧽	su35	
𥼌	su35	
𤡍	su35	
𥥰	su35	
𠲌	su35	
𢠫	su35	
𡜐	su35	
數	su35	
𡢏	su35	
𢿘	su35	
𢿙	su35	
𣀭	su35	
𢾗	su35	
䭭	su35	
潄	su35	
𡂡	su35	
㫹	su35	
𡦤	su35	
𡠯	su35	
捒	su35	
姑	ku55	
孤	ku55	
箍	ku55	
辜	ku55	
估	ku55	
谷	ku13	
穀	ku13	
骨	ku13	
□	ku13	
古	ku42	
牯	ku42	
股	ku42	
鼓	ku42	
盬	ku42	
钴	ku42	
故	ku35	
固	ku35	
锢	ku35	
雇	ku35	
顾	ku35	
枯	kʰu55	
箍	kʰu55	
哭	kʰu13	
酷	kʰu13	
窟	kʰu13	
苦	kʰu42	
库	kʰu35	
裤	kʰu35	
绔	kʰu35	
□	kʰu35	
呼	xu55	
□	xu55	
忽	xu13	
核	xu13	
斛	xu13	
糊	xu13	
□	xu42	
乌	Øu55	
坞	Øu55	
污	Øu55	
巫	Øu55	
诬	Øu55	
邬	Øu55	
呜	Øu55	
钨	Øu55	
吴	Øu13	
吾	Øu13	
如	Øu13	
无	Øu13	
儒	Øu13	
入	Øu13	
物	Øu13	
勿	Øu13	
屋	Øu13	
芜	Øu13	
蜈	Øu13	
梧	Øu13	
五	Øu42	
伍	Øu42	
午	Øu42	
武	Øu42	
舞	Øu42	
侮	Øu42	
乳	Øu42	
仵	Øu42	
忤	Øu42	
捂	Øu42	
迕	Øu42	
鹉	Øu42	
误	Øu35	
悟	Øu35	
汝	Øu35	
务	Øu35	
雾	Øu35	
戊	Øu35	
骛	Øu35	
婺	Øu35	
晤	Øu35	
悟	Øu35	
恶	Øu35	
履	ny55	
律	ny13	
驴	ny13	
氯	ny13	
率	ny13	
女	ny42	
吕	ny42	
旅	ny42	
履	ny42	
铝	ny42	
屡	ny42	
侣	ny42	
闾	ny42	
缕	ny42	
褛	ny42	
捋	ny42	
虑	ny35	
滤	ny35	
居	ʨy55	
拘	ʨy55	
驹	ʨy55	
狙	ʨy55	
车	ʨy55	
雎	ʨy55	
矩	ʨy55	
橘	ʨy13	
桔	ʨy13	
菊	ʨy13	
鞠	ʨy13	
局	ʨy13	
剧	ʨy13	
剧	ʨy13	
掬	ʨy13	
锔	ʨy13	
举	ʨy42	
咀	ʨy42	
沮	ʨy42	
龃	ʨy42	
蒟	ʨy42	
莒	ʨy42	
据	ʨy35	
踞	ʨy35	
巨	ʨy35	
拒	ʨy35	
距	ʨy35	
炬	ʨy35	
聚	ʨy35	
句	ʨy35	
具	ʨy35	
俱	ʨy35	
惧	ʨy35	
锯	ʨy35	
矩	ʨy35	
趋	ʨʰy55	
驱	ʨʰy55	
躯	ʨʰy55	
岖	ʨʰy55	
黢	ʨʰy55	
焌	ʨʰy55	
蛐	ʨʰy55	
区	ʨʰy55	
蛆	ʨʰy55	
曲	ʨʰy55	
渠	ʨʰy13	
瞿	ʨʰy13	
衢	ʨʰy13	
龋	ʨʰy13	
屈	ʨʰy13	
麴	ʨʰy13	
曲	ʨʰy13	
朐	ʨʰy13	
佢	ʨʰy13	
取	ʨʰy42	
娶	ʨʰy42	
龋	ʨʰy42	
趣	ʨʰy35	
祛	ʨʰy35	
去	ʨʰy35	文读
虚	ɕy55	
须	ɕy55	
需	ɕy55	
嘘	ɕy55	
□	ɕy55	
盱	ɕy55	
徐	ɕy13	
戌	ɕy13	
续	ɕy13	
许	ɕy42	
序	ɕy35	
叙	ɕy35	
绪	ɕy35	
絮	ɕy35	
婿	ɕy35	
淤	Øy55	
迂	Øy55	
瘀	Øy55	
鱼	Øy13	
渔	Øy13	
余	Øy13	
馀	Øy13	
愚	Øy13	
虞	Øy13	
娱	Øy13	
舆	Øy13	
吁	Øy13	
于	Øy13	
盂	Øy13	
榆	Øy13	
逾	Øy13	
愉	Øy13	
俞	Øy13	
渝	Øy13	
瑜	Øy13	
谀	Øy13	
庾	Øy13	
域	Øy13	
疫	Øy13	
役	Øy13	
郁	Øy13	
育	Øy13	
毓	Øy13	
昱	Øy13	
煜	Øy13	
𧗱	Øy13	
玉	Øy13	又读
狱	Øy13	
欲	Øy13	
浴	Øy13	
裕	Øy13	
峪	Øy13	
蜈	Øy13	老派白读
语	Øy42	
雨	Øy42	
宇	Øy42	
禹	Øy42	
羽	Øy42	
龉	Øy42	
御	Øy35	
预	Øy35	
豫	Øy35	
遇	Øy35	
寓	Øy35	
芋	Øy35	
喻	Øy35	
玉	Øy35	
彧	Øy35	
妪	Øy35	
与	Øy35	
誉	Øy35	
愈	Øy35	
巴	pa55	
芭	pa55	
疤	pa55	
扒	pa55	
笆	pa55	
粑	pa55	
八	pa13	
拔	pa13	
靶	pa42	
把	pa42	
㞎	pa42	
霸	pa35	
爸	pa35	
欛	pa35	
壩	pa35	
坝	pa35	
趴	pʰa55	
汃	pʰa55	方言词，软烂
𤆵	pʰa55	方言词，软烂
爬	pʰa13	
帕	pʰa13	
扒	pʰa13	
耙	pʰa13	
钯	pʰa13	
琶	pʰa13	
杷	pʰa13	
杷	pʰa13	
怕	pʰa35	
妈	ma55	
吗	ma55	
嫲	ma55	
麻	ma13	
痳	ma13	
蟆	ma13	
抹	ma13	
马	ma42	
玛	ma42	
蚂	ma42	
犸	ma42	
码	ma42	
骂	ma35	
乏	fa13	
发	fa13	
伐	fa13	
筏	fa13	
罚	fa13	
珐	fa13	
法	fa13	
鍅	fa13	
嗒	ta55	
哒	ta55	
□	ta55	
□	ta55	
答	ta13	
搭	ta13	
达	ta13	
耷	ta13	
妲	ta13	
跶	ta13	
打	ta42	
大	ta35	
他	tʰa55	
它	tʰa55	
她	tʰa55	
牠	tʰa55	
祂	tʰa55	
铊	tʰa55	
踏	tʰa13	
塔	tʰa13	
榻	tʰa13	
塌	tʰa13	
獭	tʰa13	
搨	tʰa13	
沓	tʰa13	
拉	na55	
啦	na55	
垃	na55	
拿	na13	
纳	na13	
呐	na13	
钠	na13	
讷	na13	
腊	na13	
蜡	na13	
辣	na13	
瘌	na13	
邋	na13	
旯	na13	
捺	na13	
剌	na42	
哪	na42	
那	na35	
渣	ʦa55	
蔗	ʦa55	
臜	ʦa55	
吒	ʦa55	
楂	ʦa55	
奓	ʦa55	
杂	ʦa13	
闸	ʦa13	
札	ʦa13	
紮	ʦa13	
扎	ʦa13	
匝	ʦa13	
砸	ʦa13	
咂	ʦa13	
轧	ʦa13	
铡	ʦa13	
炸	ʦa13	
眨	ʦa42	
鲊	ʦa42	~广椒，一种传统食物的名字
咋	ʦa42	
诈	ʦa35	
栅	ʦa35	
咤	ʦa35	
蚱	ʦa35	
榨	ʦa35	
炸	ʦa35	
叉	ʦʰa55	
搽	ʦʰa55	
杈	ʦʰa55	
差	ʦʰa55	
茶	ʦʰa13	
搽	ʦʰa13	
茬	ʦʰa13	
插	ʦʰa13	
擦	ʦʰa13	
察	ʦʰa13	
刹	ʦʰa13	
檫	ʦʰa13	
查	ʦʰa13	
镲	ʦʰa13	
敞	ʦʰa42	
岔	ʦʰa35	
沙	sa55	
纱	sa55	
杉	sa55	
砂	sa55	
莎	sa55	
唦	sa55	
鲨	sa55	
痧	sa55	
裟	sa55	
杀	sa13	
靸	sa13	~着拖鞋
霎	sa13	
刹	sa13	
萨	sa13	
洒	sa42	
傻	sa42	
撒	sa42	
趿	sa35	
厦	sa35	
姑	ka55	
嘎	ka55	
夹	ka13	
甲	ka13	
膈	ka13	
嘎	ka42	
搁	ka35	
抲	kʰa55	
掐	kʰa13	
卡	kʰa42	
胩	kʰa35	
哈	xa55	
□	xa55	
吓	xa13	
□	xa42	
□	xa42	
下	xa35	
□	xa35	
阿	Øa55	
丫	Øa55	
啊	Øa13	
啊	Øa42	
啊	Øa35	
趴	pia55	
□	pia55	
爹	tia55	
□	tia55	
嗲	tia42	
□	tʰia55	
□	tʰia13	
□	tʰia42	
□	tʰia42	
□	nia55	
□	nia13	
您	nia42	白读，用于日常第二人称的敬称
□	nia35	
家	ʨia55	
加	ʨia55	
痂	ʨia55	
笳	ʨia55	
迦	ʨia55	
伽	ʨia55	
珈	ʨia55	
袈	ʨia55	
嘉	ʨia55	
佳	ʨia55	
稼	ʨia55	
傢	ʨia55	
镓	ʨia55	
葭	ʨia55	
夹	ʨia13	
胛	ʨia13	
裌	ʨia13	
郏	ʨia13	
甲	ʨia13	
岬	ʨia13	
钾	ʨia13	
假	ʨia42	
贾	ʨia42	
价	ʨia35	
架	ʨia35	
驾	ʨia35	
嫁	ʨia35	
假	ʨia35	
□	ʨʰia55	
恰	ʨʰia13	
洽	ʨʰia13	
虾	ɕia55	
霞	ɕia13	
瑕	ɕia13	
暇	ɕia13	
遐	ɕia13	
狭	ɕia13	
峡	ɕia13	
侠	ɕia13	
瞎	ɕia13	
辖	ɕia13	
匣	ɕia13	
狎	ɕia13	
夏	ɕia35	
吓	ɕia35	
下	ɕia35	
厦	ɕia35	
鸦	Øia55	
丫	Øia55	
桠	Øia55	
牙	Øia13	
芽	Øia13	
衙	Øia13	
鸭	Øia13	
押	Øia13	
压	Øia13	
涯	Øia13	
蚜	Øia13	
琊	Øia13	
睚	Øia13	
轧	Øia13	
伢	Øia13	
雅	Øia42	
哑	Øia42	
垭	Øia42	
亚	Øia35	
讶	Øia35	
砑	Øia35	
娅	Øia35	
氩	Øia35	
抓	ʦua55	
膼	ʦua13	方言词，踢
欻	ʦua13	
□	ʦua13	
爪	ʦua42	
□	ʦʰua55	方言词，~掉，义同“划掉”
歘	ʦʰua13	方言词，~雨，即淋雨
□	ʦʰua42	
□	sua55	
刷	sua13	
耍	sua42	
□	sua42	
瓜	kua55	
刮	kua13	
寡	kua42	
剐	kua42	
挂	kua35	
卦	kua35	
褂	kua35	
夸	kʰua55	
□	kʰua55	
侉	kʰua42	
垮	kʰua42	
侉	kʰua42	
跨	kʰua35	
挎	kʰua35	
挂	kʰua35	
胯	kʰua35	
花	xua55	
哗	xua55	
滑	xua13	
铧	xua13	
骅	xua13	
华	xua13	
猾	xua13	
划	xua13	
化	xua35	
话	xua35	
画	xua35	
华	xua35	
桦	xua35	
蛙	Øua55	
洼	Øua55	
娲	Øua55	
哇	Øua55	
挖	Øua13	
袜	Øua13	
娃	Øua13	
瓦	Øua42	
瓦	Øua35	专用于“~匠”一词，即泥瓦匠
波	po55	
玻	po55	
啵	po55	
播	po55	
菠	po55	
钵	po13	
拨	po13	
钹	po13	
博	po13	
薄	po13	
剥	po13	
驳	po13	
帛	po13	
礴	po13	
蕃	po13	
勃	po13	
脖	po13	
搏	po13	
渤	po13	
箔	po13	
舶	po13	
铂	po13	
亳	po13	
跛	po42	
簸	po42	颠~
簸	po35	~箕
薄	po35	
坡	pʰo55	
钋	pʰo55	
婆	pʰo13	
泼	pʰo13	
鄱	pʰo13	
珀	pʰo13	
粕	pʰo13	
破	pʰo35	
摸	mo55	
□	mo55	
魔	mo13	
摩	mo13	
馍	mo13	
末	mo13	
沫	mo13	
莫	mo13	
膜	mo13	
幕	mo13	
寞	mo13	
蘑	mo13	
茉	mo13	
漠	mo13	
磨	mo13	
模	mo13	
摹	mo13	
暮	mo35	
慕	mo35	
墓	mo35	
募	mo35	
□	mo35	
磨	mo35	
佛	fo13	
多	to55	
哆	to55	
夺	to13	
铎	to13	
踱	to13	
咄	to13	
掇	to13	
裰	to13	
踱	to13	
度	to13	
朵	to42	
躲	to42	
剁	to35	
舵	to35	
惰	to35	
垛	to35	
堕	to35	
跺	to35	
拖	tʰo55	
鸵	tʰo13	
脱	tʰo13	
讬	tʰo13	
托	tʰo13	
陀	tʰo13	
坨	tʰo13	
驼	tʰo13	
砣	tʰo13	
跎	tʰo13	
沱	tʰo13	
佗	tʰo13	
拓	tʰo13	
妥	tʰo42	
椭	tʰo42	
庹	tʰo42	
唾	tʰo35	
驮	tʰo35	
罗	no55	
挪	no13	
猡	no13	
锣	no13	
箩	no13	
萝	no13	
骡	no13	
诺	no13	
落	no13	
烙	no13	
骆	no13	
酪	no13	
洛	no13	
络	no13	
逻	no13	
珞	no13	
雒	no13	
挪	no13	
娜	no13	
乐	no13	
螺	no13	
脶	no13	
裸	no42	
瘰	no42	
喏	no35	
糯	no35	
摞	no35	
拙	ʦo13	
茁	ʦo13	
凿	ʦo13	
昨	ʦo13	
酌	ʦo13	
灼	ʦo13	
捉	ʦo13	
桌	ʦo13	
卓	ʦo13	
浊	ʦo13	
琢	ʦo13	
啄	ʦo13	
作	ʦo13	
着	ʦo13	
镯	ʦo13	
涿	ʦo13	
左	ʦo42	
佐	ʦo42	
坐	ʦo35	
座	ʦo35	
做	ʦo35	
搓	ʦʰo55	
撮	ʦʰo55	
磋	ʦʰo55	
蹉	ʦʰo55	
浊	ʦʰo13	
戳	ʦʰo13	
锉	ʦʰo13	
痤	ʦʰo13	
撮	ʦʰo13	
错	ʦʰo13	
绰	ʦʰo13	
□	ʦʰo42	
锉	ʦʰo35	
错	ʦʰo35	
莝	ʦʰo35	
措	ʦʰo35	
厝	ʦʰo35	
蓑	so55	
梭	so55	
嗦	so55	
莎	so55	白读
□	so55	
朔	so13	
烁	so13	
硕	so13	
铄	so13	
妁	so13	
说	so13	
率	so13	
蟀	so13	
索	so13	
勺	so13	
芍	so13	
□	so13	
数	so13	~见不鲜
數	so13	~見不鮮
𢾗	so13	
𣀭	so13	
𡢏	so13	
𢿙	so13	
𢿘	so13	
锁	so42	
所	so42	
唢	so42	
琐	so42	
歌	ko55	
哥	ko55	
锅	ko55	
埚	ko55	
戈	ko55	
鸽	ko13	
割	ko13	
葛	ko13	
各	ko13	
阁	ko13	
搁	ko13	
铬	ko13	
郭	ko13	
廓	ko13	
国	ko13	
帼	ko13	
蝈	ko13	
掴	ko13	
革	ko13	民间误读
骼	ko13	民间误读
胳	ko13	
虢	ko13	
果	ko42	
裹	ko42	
粿	ko42	
椁	ko42	
舸	ko42	
个	ko35	
过	ko35	
科	kʰo55	
窠	kʰo55	
棵	kʰo55	
颗	kʰo55	
苛	kʰo55	
柯	kʰo55	
珂	kʰo55	
轲	kʰo55	
疴	kʰo55	
蚵	kʰo55	
稞	kʰo55	
蚪	kʰo55	
磕	kʰo13	
瞌	kʰo13	
嗑	kʰo13	
渴	kʰo13	
壳	kʰo13	
阔	kʰo13	
扩	kʰo13	
酷	kʰo13	
括	kʰo13	
可	kʰo42	
渴	kʰo42	
课	kʰo35	
廓	kʰo35	
喝	xo13	
呵	xo13	
河	xo13	
何	xo13	
禾	xo13	
合	xo13	
活	xo13	
鹤	xo13	
霍	xo13	
或	xo13	
惑	xo13	
获	xo13	
涸	xo13	
核	xo13	
劾	xo13	
贺	xo13	
豁	xo13	
荷	xo13	
和	xo13	
龢	xo13	
郃	xo13	
颌	xo13	
盒	xo13	
豁	xo13	
郝	xo13	
藿	xo13	
火	xo42	
伙	xo42	
贺	xo35	
货	xo35	
祸	xo35	
褐	xo35	
壑	xo35	
荷	xo35	
和	xo35	
倭	Øo55	
窝	Øo55	
屙	Øo55	
挝	Øo55	
涡	Øo55	
蜗	Øo55	
鹅	Øo13	
蛾	Øo13	
俄	Øo13	
讹	Øo13	
鄂	Øo13	
愕	Øo13	
萼	Øo13	
若	Øo13	
弱	Øo13	
