来源：	沈明 2014《山西岚县方言》；sainirwuu 整理录入
tɕʰ	［1］敲［3］巧雀{鸟儿类称}［5］俏{老来～}
ɕ	［2］淆{混～}［5］酵{发～}孝效校{学～；～对}
#ɤu
ts	［1］朝{～气}召{～开}昭{人名}招沼□{～边：繰边儿}［5］赵兆照诏{～书}
tsʰ	［1］超□{得意：看把你～的，眼睛长得眉棱骨上咧}［2］朝{～代；～东走}潮
s	［1］烧{～火}［2］韶{～山}［3］少{多～}［5］烧{霞：早～；晚～}少{～年}邵绍□{～烟□tuəʔ：在烟筒出口处点火引烟}
ʐ	［2］饶{～命}［3］扰绕{缠～}［5］绕{～圈圈}
#iɤu
p	［1］膘标彪镳［3］表俵婊裱［5］摽{～住干}嫑{“不要”的合音：～急}
pʰ	［1］飘漂{用汤勺撇：～上一勺稀的}鳔{鱼～}［2］瓢嫖［3］漂{～白粉}［5］票漂{中途天折：这块买卖～咧}
m	［2］苗描矛{～子：长矛}［3］秒［5］妙庙
t	［1］刁叼{～烟斗}貂雕{老～}碉{～堡}□{眼疾手快}［5］钓吊掉调{音～；～动}藋{灰～：一种野菜}
n	［5］尿
l	［2］撩燎{～泡}獠{～牙}疗聊辽［3］了{～结}燎{～毛}［5］瞭{看：把你兀块东西荷得来我～～}撂料尥{～屁股哩：发脾气}
tɕ	［1］焦蕉椒骄娇浇［3］绞矫侥［5］噍{倒～：反刍}轿叫
tɕʰ	［1］锹缲{～边}劁{阉割：～猪儿子}［2］跷{高～}乔桥荞侨条调{～和：专指花椒}［3］悄{～～地}挑{～拨}跷{～起腿来}［5］俏{～洒}鞘窍桥{石～，村名}跳粜{～粮}
s	［1］肖消销宵霄硝萧箫［2］学{～武艺}［3］小晓［5］笑
Ø	［1］幺{～鸡：麻将的一条}吆{～叫：你出去～叫几块人来；把鸡～回来}妖邀要{～求}腰约{估计：～一～有多重}［2］摇谣遥瑶窑姚尧{～舜}淆{混～}［3］舀［5］要{不～}耀鹞跃{～进}窑{～上，村名}尧{～上，村名}
#ɐu
t	［1］兜{动词}［2］□{屄～：耳光}［3］兜{～～：衣兜儿}斗{一～米}抖［5］鬥{～嘴}豆逗窦
tʰ	［1］偷［2］头{～～：头儿}投透{～视}［5］透{交合}
n	［2］奴□{没见识：不看书不出门，你～得没脖子咧}［3］努扭{圪～儿：蝌蚪}［5］怒
l	［2］卢芦炉庐颅{奔～：突出的前额}楼搂{～草}喽{～～：喽罗}蝼{～蛄}髅{干骷～：辱骂没有儿子的人}□{给植物的根部培土}［3］鲁虏{打仗叫～得去咧}卤篓搂{～抱}□{～壶：茶壶}［5］路赂{贿～}露漏瘘{～疮}喽{嗝～：嗝儿}
ts	［1］租邹撖{～住碗}周舟州洲粥［3］祖组走肘帚{扫～}轴{～头子；～皮}［5］做{旧时私塾老师教的读音}揍昼纣{～王}宙皱绉咒{～人哩}就{吃唠饭～走}
tsʰ	［1］粗抽搊{～裤子}［2］绸稠筹愁仇酬□{～一·～：探望病人}［3］丑醜瞅［5］醋措凑臭
s	［1］苏酥搜飕{风刮得～～地}收［2］倏{快：～底跑得没影影咧}［3］手首守擞{圪～：打冷战}［5］素嗉塑诉{～苦}瘦嗽漱兽售受授寿
ʐ	［2］柔揉［3］扭{～麻绳；胳膊上～唠一把}［5］肉
k	［1］勾{～搭}沟钩［3］狗［5］够勾{～当}构购
kʰ	［1］抠［3］口［5］扣寇
ŋ	［1］欧瓯{茶～子}［3］藕偶呕{～心哩：泛酸水}嫗{焦糊}［5］沤怄{～气}熰{烟～～地}
x	［2］侯喉{咽～}猴瘊□{小：～女子；～石头}［3］吼{叫；唤：快回哇，你妈～你哩}［5］后後厚候
#iɐu
t	［1］丢
n	［2］牛□{～～：昆虫的类称}□{老～婆：接生婆}［3］扭{打木～：打陀螺}纽［5］谬{～论}
l	［2］刘浏流硫琉留榴廖{姓}［3］柳［5］溜{圪～：溜走；～子：漏斗；鞋～子：鞋拔子}遛{圪～：溜达}镏{金～子：金戒指}六
tɕ	［1］揪鬏圪{～～：髻}鸠纠蹴{圪～：蹲}［3］酒九久灸韭臼{碓～}［5］就{迁～}臼{脱～}舅咎救究旧
tɕʰ	［1］秋丘蚯{～蚓(新)}邱球{篮～}［2］求裘毬球{～～蛋蛋：圆粒状的东西}
ɕ	［1］修羞休［2］囚{～车}［3］朽［5］秀锈绣宿{星～：星星}袖
Ø	［1］忧优犹幽［2］尤邮油{～䗣：蚜虫}由游莜悠{～千：秋千}［3］有友酉［5］又右佑祐釉鼬{黄～：黄鼠狼}莠{毛～子：狗尾巴草}诱幼
#ẽ
p	［1］般搬［5］半伴畔{河～}
pʰ	［1］潘拼{我～出去和他打一架}［2］盘［5］判叛
m	［2］瞒幔{在外面包一层布：～鞋：用白布包在鞋上做孝鞋}蔓{～菁}［3］满［5］漫{水～上来哩}墁{～地：用砖铺地面}幔{～子：纸糊的双层顶棚}
n	［3］暖{～泉，村名}
ts	［1］毡沽沾粘［3］展［5］占{～卦}佔战颤{圪～～地：颤抖的样子}
tsʰ	［2］缠禅蟾{～酥，一味中药}［5］蟮{蛐～：蚯蚓}
s	［1］膻掮煽［2］禅{住宿：你在太原～哪儿着哩？}［3］陕闪［5］扇{～子}单{姓}善鳝{～鱼}缮骟{～马}
ʐ	［2］然燃黏［3］染碾{～子}［5］碾{～咀，村名}
#iẽ
p	［1］鞭编边［3］贬匾扁{～食：水饺}［5］辩辨辫遍变便{方～}汴卞{姓}
pʰ	［1］篇偏［3］片{纸～子}［5］骗片{～瓦}□{～脚：跺脚}
m	［1］棉绵［3］免勉敏{人名}［5］面麺
t	［1］掂{～量}颠［3］点典□{～～□ku53□ku53：方方面面：我家媳妇子甚也不干，我～跟个丫环似家}［5］店踮{～起脚尖}电殿奠{～桌：香案}佃垫
n	［2］年黏研{硌：鞋底子薄得～脚哩}［3］捻撵［5］念酽艳砚□{日不～～：爱显摆的样子：人家们都坐着不动，唯数你是日不～～跑不办哩}
l	［2］廉镰帘怜连莲［3］脸殓［5］练炼敛裢{褡～}
tɕ	［1］尖兼煎肩坚［3］检俭捡剪茧趼［5］渐剑践件箭贱溅建键健腱毽荐见□{粗条状的东西：麦～～(短麦秸)；花～～(花梃)；鼓～～(鼓槌)}
tɕʰ	［1］签谦迁歼枚钎笺{书～～}千牵天添［2］潜{龙～寺，当地佛教寺庙}钳钱{榆～～：榆钱儿}乾{～坤}虔{～心：那块孩念书可～心哩}前甜田填［3］浅遣舔［5］欠芡歉
ɕ	［1］先仙鲜{新～}□{门～：门槛}［2］贤嫌弦献{供～：供品}［3］险显鲜{朝～}癣［5］线现县宪献{～供：献供品}先{～前日：大前天}
k	［1］甘柑泔{～水}干{天～地支}肝乾{～湿}竿安{舍～，村名}［3］杆［5］幹{～活}赣
kʰ	［1］看{～家；～钱：借高利贷}［5］看{～见}
ŋ	［1］安{～心}鞍鹌{～鹑}［2］□{预计：我～的来两三天，结果来唠五六天}［3］□{严密：这缝子～的可严哩}［5］揞{～住}暗岸按案安{新～，村名}
x	［1］憨{～头裂脑：憨头憨脑}［2］寒韩含涎{～水}［5］鼾{打～睡：打呼噜}罕汉汗旱{～鸭子}翰{～林}瀚{人名}撼{摇晃：～动～不动}䗣{油～：蚜虫}
Ø	［1］腌{～菜}淹{～心：水喝多不舒服的感觉}焉{心不在～}蔫{死～}墕{红砂～，村名}烟胭{～脂}［2］盐严阎闫檐延言研缘沿{动词}岩{侯家～，村名}芫{～荽}［3］掩演［5］验炎焰厌黡{皮肤上的痣：红～；黑～}艳{人名}晏{人名}筵谚彦{人名}堰{坝～}雁{～北}咽宴□{蛇～～：烘烤而成的一种面点，类似饼干}沿{名词：边边～～}
#uẽ
t	［1］端［3］短［5］断段椴缎锻
tʰ	［1］猯{～子：獾；～油：獾油}［2］团
l	［2］联{对～}鸾{～凤}恋{留～：女子大哩赶紧出嫁哇，留～在家里做甚咧？}卵□{□tʰuəʔ～：“团的分音后字}［5］乱
ts	［1］钻{～空空：钻空子}专砖［3］转{～眼}［5］篆钻{气～}传{树碑立～}转{圪～：转一转}
tsʰ	［1］氽川穿［2］传{～话}椽船攒{一圪～～：一丛}□{□kʰaŋ312～：骂人做事不地道}［3］喘［5］串窜篡{王莽～位}
s	［1］酸［5］算蒜
ʐ	［3］软阮{～小二}
k	［1］官棺观冠{鸡～子}［3］管馆［5］贯灌罐观{道～}冠{～军}鹳{捞鱼～}
kʰ	［1］宽［3］款
x	［1］欢［3］缓［5］唤换焕
Ø	［1］豌剜［2］丸完［3］皖碗腕［5］玩{游～}□{崴：～唠脚咧}
#yẽ
l	［2］□{□kʰuəʔ～：“圈”的分音后字}
tɕ	［1］捐绢［3］捲啳{骂}［5］眷{家～}卷圈{猪～}券娟{人名}
tɕʰ	［1］圈{划～～；～地}［2］全泉拳颧权蜷{圪～地：蜷缩的样子}［3］犬{乱～：犬字旁}圈{把鸡～起来}［5］劝碹{～窑}泉{冷～，村名}
ɕ	［1］宣喧{吹嘘：本来不大块事，让你给～成块大的}揎{～开}［2］悬玄旋{～转}璇{人名}轩{人名}［3］选［5］楦镟旋{铅笔～～：铅笔旋儿}
Ø	［1］渊冤［2］员圆元原源袁辕园援媛［3］远［5］院愿怨
#aŋ
p	［1］班斑{～鸠}扳［3］板版扁{圆的～的}［5］扮瓣办
pʰ	［1］攀［5］盼襻
m	［2］蛮［5］慢
f	［1］翻［2］凡帆烦繁{樊}姓藩{削～}番{西～柿：西红柿}［3］反返［5］范範犯泛贩饭万{小～，村名}
t	［1］担{～水}耽丹单□{～□tɕi214牛：阉过的公牛}［3］胆疽［5］淡担{～子}旦蛋弹{子～}但{～凡}石{旧时称粮食的量具，也是容量单位}
tʰ	［1］贪滩摊瘫［2］潭谭谈痰檀坛{～场：(酒席)席面}弹{～琴}坦{～克}口［3］毯坦{～白}［5］探炭叹
n	［2］南男难{～处}［5］难{～人：犯人}齉{～鼻子}
l	［2］兰拦栏蓝篮□{□kʰuəʔ～：“框”的分音后字}［3］览揽缆榄懒□{□tsʰəŋ44～：旧时提亲的时候由长辈出面，以示郑重}□{～筋：脚筋}［5］滥烂□{肠～五肚：泛指肠肠肚肚}□{□pəʔ～：“绊”、“拌”的分音后字}
ts	［1］簪□{～点：数落}拶{～子：旧时一种刑具，用来夹女犯的手指}［3］斩盏攒［5］站暂錾蘸赞绽{口子：开唠一块大～子}栈{客～；～子：横架在椽子上的细木条，排得很密}
tsʰ	［1］参{～加}搀［2］蚕谗{～言碎语：闲言碎语}馋残惭［3］产铲惨□{只：～吃面不吃菜}［5］灿绽{～开：顺线头拆开}餐{一日三～}饞□{瓷□pəʔ～：大的粗瓷碗}
s	［1］三衫山［2］删［3］散{～的：零的}伞［5］散{分～；～给大家每人一块}
k	［3］感敢擀赶{□i53～：在。。之前：～坐车准备好票}
kʰ	［1］刊{～物}勘{～测局}［3］坎砍{～刀}槛{门～：门第}□{用力扔}□{～□tsʰuẽ44：骂人做事不地道}
ŋ	［1］庵{瓜～；尼姑～}［3］唵{以手覆物入口：～炒面}掩{拿盖子～住；你谁的嘴也～不定}［2］鹹-闲-{～人}函{公～}涵{包～}［3］喊［5］陷-{～下去}馅-{～子}寒{雅～，村名}焊捍
#iaŋ
n	［1］淹-{～死}［2］颜-{～色}［3］眼-雅-{～寒，村名}［5］雁-{～儿：大雁}
tɕ	［1］监{坐～；国子～}艰间{中～}奸涧{东阳～，村名}［3］减碱简拣□{～婆：外祖母；～爷：外祖父}［5］舰间{～断}涧{马～，村名}锏柬{请～；～埔寨}菅{青～：一种专用来扎笤帚的植物}
tɕʰ	［1］鹐铅{～笔}［5］嵌□{低：～头}□{很；极：疼～咧；好～咧}
ɕ	［2］咸{～阳}鹹={～盐}衔闲={空～}［5］限陷={下～}苋{马齿～}
Ø	［2］颜={～面}
#uaŋ
l	［2］□{kʰuəʔ～：“环”的分音后字}
ts	［5］赚
s	［1］闩拴栓□{～□tsʰɿeʔ：形容女子漂亮}［5］涮疝{～气}□{水～圪狑：骂女子举止轻佻，其貌不扬又爱打扮，但又打扮得不得体}□{数～：数落}
k	［1］关［5］惯
x	［2］还环{滚铁～}□{～些些：快点儿}［5］幻{～灯}患{～得～失}宦{当官做～}
Ø	［1］弯湾［2］顽{～皮：滚刀肉}［3］晚挽绾{～草；～袖子}鞔{～鞋帮子}［5］万蔓{瓜～子}
#əŋ
p	［1］奔锛崩绷{～子；～着个脸}［3］本［5］笨奔蹦迸=镚{钢～子：硬币}磅{～子：磅秤}
pʰ	［1］喷{～水}烹［2］盆朋彭膨棚={车～子；把顶子～定}篷蓬{沙～}［3］捧［5］碰喷{～嚏}
m	［1］焖{～面}［2］门蠓{蠅～子；蚊子}萌盟{牺～会}蒙檬［3］锰猛={～张飞}懵{～懂}［5］闷梦孟
f	［1］分{～开}芬纷风枫疯丰封峰蜂{～窝}锋［2］坟{上～}焚{～书坑儒}冯逢缝{～衣裳}［3］粉［5］粪奋愤忿份{一～两～}分{～量}凤奉缝{裂唠一条～子}
t	［1］登蹬灯［3］等戥［5］凳镫澄{把水里的渣子～一～}瞪邓□{接并：～山畔：丘陵与山的交界处；把两块床～在一起}
tʰ	［1］吞{～糠咽菜}熥{～馍馍}腾藤［2］疼誊［5］□{用好话怂恿：表扬个几句，就～成个苶人}
n	［2］能农脓{溃～}［5］嫩浓{雨下～咧：雨下透了}恁{～可：宁可：我～可不吃也不做}□{快吃的样子：猪吃得～～地}
l	［1］□{圪～：棱儿}［2］棱{～镜}［3］冷={～冰冰地}［5］楞□{□kʰəʔ～：虐待}
ts	［1］针斟{～酒}珍榛臻真砧{～子}曾{姓}增征蒸={～汽}锃{～亮}争睁贞侦今{～日}蛰{惊～}［3］诊疹整［5］枕{～头；～枕头}镇阵震振赠憎缯{捆；扎}证症筝{风～}郑正={味道不～；不～道：不地道}政这{～□tie53：这么的}
tsʰ	［1］铛称={～呼}撑□{扶～：吹嘘}［2］沉陈尘辰晨臣岑{姓}曾{～经}层乘承丞呈{～子：状子}程={～咬金；章～}成诚城={～里头}橙□{～芽：一种专用来做扫帚的植物}□{～□laŋ312：旧时提亲的时候由长辈出面，以示郑重}［3］惩碜逞［5］趁衬慎蹭称={～心}城{古～：村名}成{八～～：楞头青}
s	［1］森参{～正咧：参星当空之时，大约凌晨三四点}糁深身申伸僧升={～官}生={～棒：愣头青}笙牲{～灵：牲口}声={名～}［2］寻神葚{桑～}□{～～定：消停下来}［3］沈审婶省{～长}省={节～}［5］肾渗甚{什么：做～}胜圣剩={～余}盛{人名}
ʐ	［2］壬任{姓}人仁□{缠绕：你把那一团绳儿～定}［3］忍韧仍{～然}［5］任{～务}纫刃认
k	［1］跟根更{～换}庚耕={秋～地：收过庄稼又翻过一遍的地}［3］耿［5］更{～好}
kʰ	［1］坑={茅～}［3］恳垦肯［5］□{出力的样子；他受的～～地；～地关上门}
ŋ	［1］恩［3］俺{表领属用于亲属等：～家行；～娘}［5］摁
x	［1］亨{～通}哼□{戏称嘴：给人吃唠传名，自己吃唠填～}［2］痕恒衡横={笔画}［3］很狠恨{着人恨：～人}［5］恨{可～}
Ø	［3］俺{表领属，用于亲属等：～家行；～娘}
#iəŋ
p	［1］彬宾冰兵［3］丙秉禀{～性}饼［5］殡鬓併並并{～州}病={疾～}
pʰ	［1］拼{～盘}［2］贫频凭平={～房}评萍苹［3］品□{～架：做作：你看他兀～架得}［5］聘乒{～乓球}
m	［2］民鸣明={清～}名={出～}铭{～旌}［3］闽闵姓抿皿{～墩：“盘”字下边的偏旁}［5］呡{含化：糖～着吃}命={～硬}
t	［1］丁={甲乙丙～}叮［2］盯［3］顶={房～}鼎［5］订钉={～书机}锭定={供～：供养：供～孩们念书哩}
n	［2］银宁{安～}拧{～螺丝；～麻花}［5］硬宁{～家湾：村名}
l	［2］林淋琳临邻鳞磷燐陵菱灵={牲～：牲口}零［3］檩岭={山～}领={～导}［5］淋{～子：漏斗}赁令另={单～}
tɕ	［1］今{而～}金禁{～不住}襟津巾紧{～裤带}斤筋更{半夜五～}京荆={～条}惊鲸精={～神}晶经□{二～连：二踢脚}［3］儘{～着老再～小的}锦紧{松～}仅谨景警井={机～}［5］浸禁{～止}妗进晋盡{～量}近境竟竞敬兢{～～业业}劲净={～顾着说话}静靖径={直～}旌{铭～}
tɕʰ	［1］侵钦亲{～戚}青={～色}清={～明}蜻{～蜓}倾{～向}轻={～重；年～}厅［2］琴禽{飞～走兽}秦勤芹卿{人名}情晴={～天}亭停={～车}廷庭［3］请擎{引～}挺□{低(头)：红皮萝卜紫皮蒜，仰头老婆～头汉}［5］沁吣{狗呕吐}亲{～家}庆磬䝼{～等着}
ɕ	［1］心芯辛新薪欣星={五～}兴={～旺}［2］寻{～犊哩：公牛发情}行{～动；品～}形型邢刑□{足够：睡～咧；吃～咧；歇～咧}□{地基下沉}［3］醒={～悟}□{□su214不～：伸懒腰}［5］信讯迅囟{～门子}幸性姓兴{高～}□{～□xu：猫头鹰}□{砒～：砒霜}□{～镰：镰刀的一种，用来割柔软的秸秆，如莜麦、小麦等}
Ø	［1］音阴荫{～凉}因茵姻殷应={～差}鹰鹦{～鹉}樱{～桃}缨英［2］淫寅迎盈营={～房}［3］饮{～食}引蚓{蚯～(新)}隐尹影={电～；～响}颖［5］窨{地～子；地窖}荫{南房～人}饮{给孩儿～饭去；～牛～马}洇印应{～该}孕映
#uəŋ
t	［1］敦{～厚，乡名}墩蹾{屁股着地摔倒：～一跤}东冬［3］趸{死～实卖：做买卖实在}盹{丢～：打盹}董懂□{招惹：这可～下糊糊(麻烦)咧}［5］顿囤{粮～子}盾动冻栋洞炖{～药：熬药}□{后～：套在驴身后部、牵驴时手拉的部分}
tʰ	［1］通［2］屯{～兵}同桐铜童瞳彤□{～猪：统称阉过的猪，包括公母}［3］桶捅筒统［5］痛
l	［1］论{～语}［2］伦{人～}崙{崑～}轮{～流}囵{囫～}龙笼聋咙{喉～}隆窿{窟～}［1］拢{～共：总共}垅陇□{□kuəʔ～：“滚”的分音后字}［5］论{议～}弄
ts	［1］尊遵宗棕综踪鬃中{当～}忠终锺鐘盅［3］准準总种{～子}肿［5］中{打～咧}仲{昆～，人名}众纵重{轻～}种{～庄稼}
tsʰ	［1］村春椿{～树坪，村名}葱匆聪充松{～树}冲{～过去}［2］存唇纯虫从丛崇重{～复}［3］蠢宠{～惯}□{～地吃：白吃}［5］寸冲{说话太～；～气：力大气粗}
s	［1］孙鬆嵩［2］旬{上～；下～}□{精液}［3］损笋［5］殉{～葬}顺舜宋送诵颂{～旗：写着吉祥话的旗子，供奉在神像前，求神灵保佑}衬{梁～会，乡名(新版地图上写作梁顺会)}
ʐ	［2］戎{姓}绒茸氄{～毛}［5］闰润
k	［1］公蚣工功攻弓躬宫恭供{～应}［3］滚磙汞拱{打～作揖}巩［5］棍贡共供{上～}龚{姓}
kʰ	［1］昆崑琨坤空{～心的}［3］啃捆孔{～夫子；～明}恐［5］困控空{～闲}
x	［1］昏婚轰{～炸}［2］魂{～灵}浑横={～竖；蛮～}宏洪红鸿□{哪～～：哪儿}［3］哄{～人}［5］混{～日子；红豆绿豆～到一堆咧}哄{起～}轰{～出去}
Ø	［1］温瘟［2］文纹闻［3］稳［5］问璺瓮嗡
#yəŋ
tɕ	［1］君军均钧供{～不定：供不起}［3］菌［5］俊郡{柴～主}㓋{凝固：羊汤凉唠就～住咧；肉～：皮冻儿}粽{～子}
tɕʰ	［2］裙{红～～：蝗虫}群琼{人名}穷［5］□{圪～～地家：狠琐之人走路快的样子}
ɕ	［1］熏{烟～气打：厨房里油烟或水蒸汽缭绕的样子}胸凶{吉～}兇［2］勋荀巡循熊雄［5］训熏{～肉；烟～}嗅{靠近以得好处：再～也不给你}
Ø	［1］晕雍{～正皇帝}［2］匀云雲芸荣融容蓉榕溶镕庸□{～瓜：南瓜的一种}□{把散乱的、颗粒状的东西堆起来}［3］允永泳咏拥勇涌蛹［5］韵运用熨{～衣裳}
#ɤʔ
p	［7］钵{～盂：钵子}拨{～出几块给他}钹{铙～}剥{～皮}博{赌～}薄={～弱；～荷}膊{胳～}卜{～卦}勃={蓬～}□{～吊tiɤu53：用来捻羊毛、驼毛的工具}□{正经茬～：应该做的事：奶奶看孙子是}
pʰ	［7］泼朴{～素}赴{～死鬼}僕{～人}仆{～倒身子}瀑{～布}□{～蓝：圆形的浅筐儿}□{糊～气：饭菜煳了的气味}［8］渤-{～海}脖-勃-{～牛：种公牛}
m	［7］末沫抹{～布}莫{姓}膜{～子：笛子眼上的薄膜}漠{沙～}摸{～揣}
tʰ	［7］托{～靠：托付：这块孩就～给你咧}庹
n	［7］诺{许～}
l	［7］落烙{～铁}骆{姓}洛络{联～}乐{快～}
ʐ	［7］热若弱
#ɿeʔ
ts	［7］摺褶{圪～～：皱褶儿}哲蜇折{～断}浙勺{旧时量粮食的器具，也是容量单位}灼{叫火～咧}作{～坊；工～}昨{～天}着{衣～打扮}窄摘责侧{～棱起睡：侧着睡}择={～日子}泽
tsʰ	［7］彻撤侧{～面}测{～卦}辙{苏～}焯{～圪一下}䜺{～～：碎豆子}拆策册□{鸡翎～子：鸡毛掸子}□{～粪：拾粪}□{不～～：不要紧了，特指病轻了}□{□suaŋ214～：形容女子漂亮}［8］凿-{～子}着-{～火咧}宅-{～舍：住宅}翟-{姓}□{水烟～子：水烟袋}
s	［7］涉设{～或：假如：～他不来唠，我不是白等咧？}涩虱色芍{～药；白～；赤～}释索{～家坡，村名}［8］折{弄～咧}舌
#ieʔ
p	［7］别{区～}鳖憋泊{梁山～}百柏伯擘{～开：掰开}碧□{醋～：醋酿制时间较长后生长出来的微生物，有防腐作用}
pʰ	［7］撇泊{～水，村名}［8］白-{～的；～跑唠一趟}别-{～住}
t	［7］跌谍{间～}滴嫡敌叠={折～；重～}
n	［7］虐
l	［7］列裂烈猎劣砾{～礓石}栗肋{～肢：肋骨}勒
tɕ	［7］接捷劫{打～}杰揭节疖结洁截={～断}给{供～}吉即鲫隔{～壁子：邻居}羯{～子；去势公羊}竭指{～甲：指甲(包括手脚)}□{说～：用隐讳的说法谈论不好的事情}□{～盐：粗盐}
tɕʰ	［7］切客{～人}讫{现金,收～}鹊{野～子：喜鹊}确铁帖贴［8］截-{一圪～；～住}叠-{～被子}碟-{～子}
ɕ	［7］协薛歇蝎楔学{～堂；～习}
k	［7］合{十～是一升}佮{杂～：羊杂儿；煞～：包圆儿；～不来：合不来}鸽{□məʔ～子：鸽子}割葛格各阁搁革隔{～开}膈{～节夹窝：膈肢窝}胳{～扭：胳膊肘儿}
kʰ	［7］磕客{～气}瞌壳
ŋ	［7］恶鄂额{超～}扼{～要}
x	［7］喝鹤［8］合盒
Ø	［7］叶页业噎约{～定}药钥岳{～飞}乐{音～}揖{一家作～，两家猫腰}逸{安～}
#ueʔ
t	［7］掇{拾～}夺={～取}
tʰ	［7］脱［8］夺-{～将来：夺过来}
ts	［7］撮{一圪～米}拙{～老婆子纫丈线。意思是笨女人做针线活儿的时候总是纫很长的线}
s	［7］说
kʰ	［7］阔{～人家}括{～号}廓扩
x	［7］豁戽{～水}劐{～开}或{设～：假如}［8］活
Ø	［7］穵{～地；～一块大坑}
#yeʔ
tɕ	［7］绝厥{突～}决诀爵{～位}觉{～见}角{～子：蒸饺}桔橘噘{入～：用脏话骂}獗{得～：得意}
tɕʰ	［7］缺［8］橛-{～子}嚼-{～子：勒在骡马上下牙之间的小铁链}
ɕ	［7］雪血恤{抚～金}
Ø	［7］悦阅月越曰{子～诗云}粤狱
#aʔ
p	［7］八拔={提～}
pʰ	［8］拔-{～萝卜}
m	［7］蚂{～蚱}
f	［7］法發髪［8］乏伐罚
t	［7］答搭达{通～}瘩褡鞑{北～子}妲{苏～己}道{八～窳，村名}□{～尺：学生用的米尺}
tʰ	［7］沓{一～子；复～：复杂}踏蹋塌溻遢{邋～}拓{～仿：写仿引}塔獭□{圪～：口齿不清：圪～孩，娘知道。意思是口齿不清的孩子说话，只有当娘的知道说什么}
n	［7］纳呐{唢～}捺{笔画}□{睡～咧：梦魇住了}
l	［7］拉{～稀，只用于牲畜。用于人说“跑肚子”}腊蜡邋鑞{锡～}辣□{趿～板：旧式木拖鞋}
ts	［7］眨{眼～毛：睫毛}扎絷轧{～钢厂}蚱{叫～～：灶蟋蟀}
tsʰ	［7］插察擦［8］杂-{男女间～排开}炸-{～糕}择-{～唠一朵花}
s	［7］眨{忽～眼}撒杀刹{～车}煞{～戏：戏散场了；～佮：包圆儿}□{～鞋：旧时一种单布鞋，鞋帮和鞋面有三角形皮梁}
x	［7］瞎-［8］匣-{梳头～子：梳妆盒}辖-{管～；直～市}
#iaʔ
p	［7］□{吸～，村名。地图上写作“吸百里”。可能是“百里”的合音}
m	［7］麦
n	［7］鸭押压{～迫}
tɕ	［7］夹荚{黑豆～}裌甲胛{肩～骨}挟□{虻～：牛虻}
tɕʰ	［7］掐恰妾怯
ɕ	［7］峡狭洽{接～}
#uaʔ
ts	［7］桌卓{董～}捉焯{人名}
tsʰ	［7］戳促{～进会；催～}
s	［7］刷朔{～州市}镯{手～}缩
k	［7］刮聒{聒噪：把耳朵～得；～喜房：婚礼日前夜，响工在新房外吹打一整夜}掴{给你一～}□{～～油：夜猫子}□{洗～～：小孩儿在河里戏水、洗澡}
x	［8］滑猾划{～船}
Ø	［7］袜握挖{挑牙～刺：挑刺儿}芒{麦～}
#yaʔ
tɕ	［7］角{辣～子：辣椒}
#ɔʔ
pʰ	［8］薄-{厚的～的}
#əʔ
p	［7］不鼻{～涕}□{前缀：草～滩；一～滩}□{分音词前字：～□laŋ53(“绊”、“拌”的分音)；～ləŋ53(“蹦”的分音)；～□lai312(“摆”的分音)}□{肚～脐：肚脐儿}□{瓷～□tsʰaŋ53：大的粗瓷碗}□{鸡～□tsʰɿ：鸡肫}□{肉～□ɕiəʔ：(人)精壮}
pʰ	［7］扑{～火：灭掉灶火}□{前缀：～篮子；～箩子}□{分音词前字：～口ləŋ44(“蓬”的分音)；～□lie312：(“撇”的分音)}攴{～文：反文旁}□{白～：冷嘲热讽}
m	［7］没{～啦：没有}墨{～子：墨汁}木{～瓜：当地一种野生灌木}沐{闹～浴，村名}目穆□{～鸽子：鸽子}
f	［7］福幅辐複腹覆佛{～爷爷}服伏{～天}復
t	［7］提{～溜：提}□{分音词前字：～拉(“耷”的分音)}
tʰ	［7］特{～殊；～务}趿□{□tʰue53～□lau44：捻棉线或麻绳的简易工具}
ts	［7］执汁秩质则贼{剿～寨，村名}织职殖{繁～}植脊{～背}隻这{～儿}直={正～}值={～日}指{～头}
tsʰ	［7］赤{红色}斥尺吃娶{～媳妇子}□{～粪：挎筐拾粪}［8］侄-直-{性子可～哩}值-{～钱}
s	［7］厮{互相：～跟；～打}失湿室塞式赤{～脚}适食{吃～：食物}蚀识式饰释{保～}殖{骨～}使{～唤筷子：使筷子}［8］什{～锦}十拾实石射{下唠场雨，庄稼一下～得那tie53高}
ʐ	［7］日儿{铁子～：比喻性格倔强的男孩儿}入{禁忌字前缀：～噘：用脏话骂；～怪}立{曲～，村名}里{会～，村名}
k	［7］锢{～露锅}旮{～旯}圪{词缀：～洞；～转；～朽}骨{～头}核{～桃}各{～人们}□{分音词前字：～榄(“杆”、“秆”的分音)}嗝{～喽}去{趋向补语标记：才去kʰəʔ～；拿起～；端将碗～}
kʰ	［7］刻-{时～；石～}克客{～人}咳颏{下巴～子}可{～好哩；～大哩；～慢地}□{分音词前字：～□lyə44(“腔”的分音)}去{动词：～哪去kəʔ呀？}□{～栳：圆形筐子}□{～□ləŋ53：虐待}
ŋ	［7］我{表领属，用于亲属等：～家行；～娘}
x	［7］核{～对；～实}赫郝黑蛤{～蟆：青蛙}□{分音词前字：～□luə53(“巷”的分音)}葫{～芦}□{～郎子：货郎}
#iəʔ
