#注释	永嘉县志，落橙抄
#声调	[1]44[2]31[3]45[4]34[5]52[6]22[7]323[8]212
#a	
∅	[1]安桉鞍冤渊温瘟[3]碗豌剜腕苑稳砚-{又}[5]案怨熨
#y	[1]崔摧催[3]脆[5]翠剉-{用刀劈}[7]缉辑撮七漆葺
ts	[1]租诸诛蛛株朱珠追锥居车-{〜马炮}拘俱{〜全}驹圭闺规窥龟轨癸归-{当〜}[3]祖主嘴举诡癸{又}愧鬼[5]著拄驻注蛀铸醉-据锯句圭{又}闺{又}季贵
tsʰ	[1]粗趋枢吹炊赤-{〜脚}区驱亏-{吃〜}[3]处{〜理}暑{大〜}娶取[5]醋处趣去
dz	[2]除储槌锤隧渠巨拒瞿逵葵[4]绪褚署薯=柱跪矩
s	[1]苏酥书舒须需输虽绥尿-靴墟嘘毁辉挥[3]暑{〜假}数-{动词}水许毁{又}[5]素-{吃〜}诉塑絮暑{又}黍庶恕数-{路〜}戍岁税穗毁-{换牙}讳纬
z	[2]如汝儒殊随遂{又}隧{又}谁余与[4]序叙聚竖乳蕊[6]树瑞穗{又}
∅	[1]於淤迂于
#ai	[6]魏饿-
p	[1]杯碑卑悲背-{动词}[5]贝背辈簸-{船被浪摆动}[7]不北
pʰ	[1]坯胚[5]沛配
b	[2]陪赔裴[4]培倍[6]佩背{〜诵}焙
m	[1]娒[2]梅枚媒煤霉蛾{灯〜}[4]每[6]妹昧[8]墨寐物-{宝〜、原〜}默
f	[1]灰挥徽[3]贿[5]悔晦[7]弗拂佛狒
v	[2]桅回茴[6]会汇[8]佛物
t	[1]堆呆[3]𠡒{用力拉}[5]对𠏮{交换}碓[7]咄-{点头、责备}
tʰ	[1]推煨{〜猪，以汤除毛}𤍐[3]腿[5]退唾蜕{蝉〜}褪[7]脱-
d	[2]颓[6]队兑[8]夺-
n	[2]挼[5]奶{〜~}[8]内
l	[2]雷脶[4]儡累垒裸-{赤膊〜}[6]泪𨀤[8]捋
ts	[3]洅-{惊颤}□-{结}[5]最=醉=[7]汁执质卒只
tsʰ	[1]崔摧催[3]脆[5]翠剉-{用刀劈}[7]缉辑撮七漆葺
dz	[8]侄秩
s	[1]衰[3]琐-{小}[5]碎[7]摔湿失室瑟虱甩率蟀狮-{〜子}
z	[4]罪[6]锐睡粹[8]习集袭十什拾入实日疾
k	[1]归规-{〜矩}[5]个刽会{〜计}桧绘[7]国掴
kʰ	[1]恢盔魁傀奎[5]块[7]磕{〜头}
ɡ	[6]溃{〜疡}[8]阂{训斥、碍}
ŋ	[6]魏饿-
#iai	[2]投[6]逗毒-{放药饵〜动物}
tɕ	[1]鸡[7]急级给吉桔击激
tɕʰ	[7]泣吃乞讫迄
dʑ	[8]及极
ȵ	[2]泥[8]逆日-{生〜}匿溺
ɕ	[7]吸歙㩉
ɦ	[8]亦译易{交〜}液腋翼逸
∅	[7]一乙益抑缢溢逸{又}
#uai	[3]口[5]叩扣寇
∅	[1]煨𬙒㻑{风和}[3]溃[5]厌{倦乏}[7]𩑦{溺没}
#ɿi	[2]牛[4]偶藕
ts	[1]猪遮稽支枝肢桅饥几{茶〜}基机讥[3]姐煮纸己几{〜个}[5]借蔗祭漈际制挤济剂计继寄冀纪炙羁[7]织职侧-积迹脊支{成〜}绩既即鲫
tsʰ	[1]车-妻栖溪欺㩻{不正}[3]且扯鼠杵启起杞岂[5]契刺-企弃气汽器[7]砌-缉-{〜鞋底}赤斥尺饬𱊞
dz	[2]茄滞池奇骑岐企妓技祁鳍其棋期旗琪麒耆[4]苎[6]箸-蛰{又}忌[8]蛰-直植殖值
s	[1]奢佘赊鳃-西犀牺嬉熙希曦[3]写舍洗玺喜嬉髓[5]泻赦世势细婿戏泄[7]息悉蟋媳薛识式饰惜昔适释锡析蟋
z	[2]邪斜蛇耶爷徐薯-{番〜}齐脐畦匙宜-{便〜}移姨夷矣[4]社已蚀藉寂惹[6]谢射麝夜誓逝剂{酸〜}系易{容〜}异蚀[8]食席夕石射-{跑}
∅	[1]伊医衣依[3]野椅倚[5]爷-{阿〜}易-意以忆亿
#au	[2]求球仇{姓氏}俅毬裘[4]臼舅咎柩[6]旧
t	[1]兜[3]斗抖[5]斗{〜争}陡
tʰ	[1]偷[3]敨{把卷着的东西〜开}[5]透
d	[2]投[6]逗毒-{放药饵〜动物}
l	[1]镂[2]楼褛[4]缕篓搂[6]漏陋
ts	[1]邹[3]走[5]奏揍皱绐
tsʰ	[3]掫{伺守}[5]凑
dz	[6]骤籀
s	[1]搜[3]叟嗖瘦漱飕[5]嗽
z	[2]愁
k	[1]勾钩沟苟[3]狗[5]够构购苟
