tan	[34]耽眈担丹单		[54]胆掸疸	[31]担淡旦诞但弹蛋		3		
tʰan	[34]贪坍滩摊瘫	[42]潭谭坛谈痰檀弹	[54]忐毯坦	[31]探炭碳叹		4		
nan		[42]男南楠喃难揇{填：~了几口饭}		[31]难揇按住		2		
lan		[42]岚蓝篮兰拦栏澜銮{白，金~殿}	[54]览揽揽懒漤{~柿子}	[31]烂滥		3		
tsan	[34]簪		[54]攒斩盏咱	[31]暂站赞蘸錾		3		
tsʰan	[34]搀餐参	[42]谗馋蚕残	[54]惨铲产惭	[31]灿		4		
san	[34]三衫山		[54]散伞馓	[31]散		3		
tʂan	[34]沾毡粘詹占		[54]展辗	[31]占佔绽栈战颤		3		
tʂʰan		[42]蟾缠瀍河名蝉婵	[54]阐	[31]忏颤		3		
ʂan	[34]姗珊删羶搧		[54]陕闪□{留着}	[31]扇善鳝膳擅		3		
ʐan			[54]然燃冉髯染			1		
kan	[34]甘柑尴干乾肝竿		[54]感敢秆杆擀赶	[31]赣幹		3		
kʰan	[34]堪勘看刊		[54]砍龛坎侃冚	[31]看瞰		3		
xan	[34]憨酣鼾	[42]含函涵寒韩	[54]喊罕	[31]撼憾汉旱汗捍悍焊翰瀚		4		
ɣan	[34]庵鹌安鞍		[54]俺	[31]暗岸按案揞谙		3		
piεn	[34]鞭编边		[54]贬扁匾	[31]变辨辩辫遍汴便		3		
pʰiεn	[34]篇偏翩	[42]便	[54]谝片切片	[31]骗片		4		
miεn		[42]棉绵	[54]免娩勉冕眠	[31]面		3		
tiεn	[34]掂颠癫	[42]	[54]	[31]		4		
tʰiεn	[34]添天	[42]甜恬田填	[54]舔腆	[31]掭		4		
niεn	[34]蔫=拈	[42]年黏	[54]碾{~场}辇撵捻	[31]念		4		
liεn		[42]廉镰帘连鲢莲	[54]脸	[31]殓练炼楝恋		3		
tsiεn	[34]尖歼煎笺		[54]剪翦鬋{花~：刘海}戬	[31]箭溅践贱饯荐		3		
tsʰiεn	[34]签千迁阡	[42]钱前	[54]浅	[31]倩茜潜		4		
siεn	[34]仙鲜-先			[31]线羡		2		
tɕiεn	[34]监兼搛{~油条}艰间奸肩坚		[54]减检俭简碱柬茧拣	[31]鉴舰剑件涧毽建健见		3		
tɕʰiεn	[34]谦牵铅	[42]钳虔乾	[54]遣谴	[31]芡欠歉嵌		4		
ɕiεn	[34]掀	[42]咸衔嫌闲弦贤	[54]险显	[31]陷馅限献现县宪		4		
iεn	[34]淹阉烟燕胭焉蔫{白，花圪~了}	[42]岩炎阎严颜言研檐沿	[54]掩俨魇眼演	[31]验厌艳焰雁彦谚燕砚宴咽延		4		
tuan	[34]端		[54]短	[31]断锻段缎煅		3		
tʰuan	[34]湍	[42]团抟				2		
nuan			[54]暖			1		
luan		[42]鸾栾峦銮=	[54]卵	[31]乱		3		
tsuan	[34]钻		[54]纂	[31]钻攥		3		
tsʰuan	[34]氽蹿	[42]攒		[31]窜篡		3		
suan	[34]酸			[31]算蒜		2		
tʂuan	[34]砖		[54]转	[31]赚转撰篆传		3		
tʂʰuan	[34]川穿	[42]传椽船	[54]喘	[31]串		4		
ʂuan	[34]闩拴栓			[31]疝涮		2		
ʐuan			[54]软阮			1		
kuan	[34]关棺官观冠鳏		[54]管馆	[31]贯灌罐惯观冠		3		
kʰuan	[34]宽		[54]款			2		
xuan	[34]欢	[42]桓还环	[54]缓	[31]唤痪换焕幻患宦		4		
uan	[34]豌剜弯湾	[42]玩完丸顽	[54]碗皖宛婉腕			3		
lyεn	[34]縺{缝：~衣服}		[54]敛	[31]恋联		3		
tsyεn	[34]隽镌					1		
tsʰyεn		[42]全泉				1		
syεn	[34]宣瑄鲜	[42]旋璇	[54]选癣	[31]渲镟铣削旋{~风}		4		
tɕyεn	[34]娟捐涓鹃		[54]卷捲	[31]眷卷绢倦圈		3		
tɕʰyεn	[34]圈	[42]权拳蜷颧	[54]犬	[31]劝		4		
ɕyεn	[34]轩喧	[42]玄悬		[31]炫眩楦		3		
yεn	[34]鸳冤渊	[42]圆员园缘元原源袁辕援	[54]远	[31]愿院怨		4		
pən	[34]奔锛		[54]本	[31]笨		3		
pʰən	[34]喷	[42]盆		[31]喷		3		
mən	[34]焖暪{笨：这孩子不~}	[42]门扪		[31]闷懑		3		
fən	[34]分吩芬纷	[42]坟焚	[54]粉	[31]粪奋		4		
vən		[42]文纹蚊闻雯	[54]吻刎	[31]问		3		
tən				[31]扽		1		
tsən	[34]榛胗		[54]怎	[31]譖		3		
tsʰən	[34]参	[42]岑	[54]碜	[31]衬		4		
sən	[34]森参			[31]渗瘆		2		
tʂən	[34]臻砧针箴珍真甄贞=侦=		[54]枕诊疹	[31]镇阵振震赈		3		
tʂʰən	[34]深-抻	[42]沉陈忱尘辰晨臣		[31]趁称{~心}		3		
ʂən	[34]深=身申伸绅	[42]神	[54]沈审婶	[31]肾慎甚蜃		4		
ʐən		[42]人壬仁任姓	[54]忍	[31]刃认韧任纫		3		
kən	[34]跟根		[54]艮硌着	[31]艮{说话~}		3		
kʰən	[34]□{抠}		[54]垦恳啃肯	[31]掯		3		
xən		[42]痕	[54]很狠	[31]恨		3		
ɣən	[34]恩			[31]摁		2		
pin	[34]斌彬宾			[31]殡鬓膑		2		
pʰin	[34]拼	[42]贫嫔频	[54]品	[31]聘		4		
min			[54]闽民悯敏抿			1		
nin			[54]恁			1		
lin	[34]拎	[42]林琳霖临邻鳞粼嶙燐淋=檩		[31]赁吝疄田垄		3		
tsin	[34]津浸{~湿}		[54]尽	[31]进晋尽烬		3		
tsʰin	[34]侵亲	[42]秦	[54]寝	[31]亲亲家		4		
sin	[34]心辛新薪	[42]寻		[31]信		3		
tɕin	[34]巾斤筋今金禁襟		[54]锦紧仅谨瑾槿	[31]禁妗劲近靳噤		3		
tɕʰin	[34]钦	[42]勤芹擒禽琴		[31]揿		3		
ɕin	[34]欣馨歆昕忻			[31]衅囟		2		
in	[34]音阴因姻茵	[42]淫银寅	[54]饮引蚓隐尹吟	[31]荫窨饮饮马印胤		4		
tuən	[34]敦墩蹲		[54]盹	[31]顿盾钝遁炖饨		3		
tʰuən	[34]吞	[42]屯豚臀囤		[31]褪		3		
luən			[54]嫩	[31]嫩		2		
tsuən	[34]尊遵					1		
tsʰuən	[34]村皴	[42]存	[54]忖	[31]寸		4		
suən	[34]孙					1		
tʂuən	[34]谆		[54]准			2		
tʂʰuən	[34]春椿	[42]唇纯醇淳	[54]蠢			3		
ʂuən			[54]吮	[31]顺舜		2		
ʐuən				[31]润闰		1		
kuən			[54]滚	[31]棍		2		
kʰuən	[34]昆坤琨鲲崑堃		[54]捆	[31]困		3		
xuən	[34]昏婚荤	[42]魂混浑		[31]混		3		
uən	[34]温瘟		[54]稳			2		
lyn		[42]淋-伦仑抡轮论名		[31]论动		2		
tsyn				[31]俊竣骏峻		1		
syn	[34]损笋榫荀询旬巡			[31]汛讯迅逊		2		
tɕyn	[34]均钧君军			[31]菌郡		2		
tɕʰyn		[42]裙群				1		
ɕyn	[34]熏薰醺勋			[31]训		2		
yn	[34]晕动	[42]匀云芸	[54]允陨殒	[31]蕴酝韵运孕熨晕名词		4		
pɑŋ	[34]帮邦梆		[54]榜膀绑	[31]傍磅谤棒蚌		3		
pʰɑŋ	[34]胮{~肿}	[42]滂磅旁膀螃彷庞		[31]胖		3		
mɑŋ	[34]虻牤	[42]忙茫芒邙盲	[54]莽蟒氓			3		
