来源：	sainirwuu 整理录入
Ø	［1］央殃秧{栽～子}［2］秧{～歌}扬羊阳玚杨洋烊［3］仰=养痒氧疡［5］样漾{圪～圪～：在水上漂的样子}恙泱
#ai
p	［1］摆背-{脊～后：背后}［2］白=［5］败拜稗
pʰ	［2］排牌［3］培-
m	［3］买［5］迈卖
v	［1］歪［5］外尾-{焦～城：地名}
t	［1］呆［3］逮[52]大代带待怠殆贷袋戴
tʰ	［1］胎苔［2］台抬［5］太态泰
n	［2］捱崖-［3］乃奶氖［5］内耐奈
I	［2］来［5］赖癞
ts	［1］灾栽宰斋这{～是甚}［2］贼［3］载宅=［5］载再在债寨
tsʰ	［1］猜差钗［2］才材财裁柴豺［3］采彩睬［5］菜蔡
s	［1］塞=腮鳃筛［5］塞=赛晒
k	［1］该［3］改［5］丐盖溉概钙
kʰ	［1］开揩=［3］凯慨楷
ŋ	［1］哀挨埃［3］矮蔼［5］艾爱碍隘
x	［2］孩鞋-［3］海［5］亥骇氦咍{吥～～：形容笑的样子}害澥-{～奶粉}懈-{松～～}
#uai
tʂ	［5］拽
tʂʰ	［1］膗{代字，本字“牛+寿”，不能生育之意。例：娶回个～货，十几年没养出一根毛来}搋{～糕}［3］揣［5］踹啜{代字。皮皮～～：吃完瓜子干果后撒在地上的皮和屑之类的垃圾}
ʂ	［1］衰摔［3］甩［5］帅率
k	［1］乖［3］拐［5］怪
kʰ	［1］块-［5］刽会块=快筷
x	［2］怀淮槐［5］坏
#ei
p	［1］卑杯悲碑背{～书包}［5］贝背={脊～}倍焙辈鐾蔔{萝～}
pʰ	［1］胚［2］陪赔裴［3］培=［5］沛佩配辔派
m	［2］枚玫梅媒埋煤迷-{藏～廊廊：捉迷藏}［3］每=美镁［5］妹昧寐墨={～水子：形容水脏}
f	［1］飞妃非匪［2］肥［3］翡绯［5］吠废肺费痱
v	［1］危威微={～小}［2］微-{稍～}为围唯惟维［3］煨违桅伟伪尾=纬苇委=萎［5］为卫未位味畏胃谓猬慰魏遗
#uei
t	［1］堆=［5］队对兑碓
tʰ	［1］推［2］颓［3］腿［5］退蜕
l	［2］雷［3］垒儡累［5］累泪类虑滤-
ts	［1］堆-{一圪～：一堆}［3］嘴咀={神树～：地名}［5］最罪醉
tsʰ	［1］崔催［3］璀［5］脆粹翠
s	［1］虽绥{～远}［2］绥{～德}随=隋={～朝}穗-{下垂物}［3］髓［5］岁遂碎隧穗=
tʂ	［1］追锥［5］坠赘缀
tʂʰ	［1］吹炊［2］垂槌锤
ʂ	［2］谁［3］水［5］税睡说{～客}
ʐ	［3］蕊［5］芮锐瑞
k	［1］归圭龟规闺硅［3］轨诡鬼［5］柜贵桂鳜
kʰ	［1］癸亏盔窥奎逵葵=魁傀［5］跪愧䙌{猪蹄～：一种打活结的方法}溃馈匮
x	［1］灰恢挥辉麾毁徽［2］回茴［3］悔［5］汇会绘桧贿晦秽惠慧讳
#ie
p	［1］边编蝙鞭绷-{用力摔出去。～棍棍：当地的一种纸牌游戏}［3］贬扁=匾［5］迸-{～裂子}蹦-{一～二丈高}汴便变遍辨辩辫
pʰ	［1］偏篇［2］棚-便［3］撇苤片-{脚～子。肉～子}［5］片=骗
m	［2］眠绵棉［3］免勉娩缅［5］面
