ɿ	
t	[52]当裆铛[21]党挡档[215]当{典~}
tʰ	[52]汤[22]糖唐堂塘棠膛搪[21]躺[215]趟[55]烫
l	[22]狼郎瓤廊琅螂榔□{穷苦潦倒}[21]朗□{洗：~一下}[215]让浪[55]□{腻}
ts	[52]脏赃漳章装彰桩庄樟[21]长涨掌[215]葬胀障仗[55]藏{西~}
tsʰ	[52]昌娼仓苍沧疮窗猖舱[22]床藏{躲~}肠常长{~短}[21]厂场闯敞[215]撞状[25]杖[55]唱畅倡
s	[52]伤桑商双霜孀丧{婚~}[22]尝偿[21]爽赏嗓上晌[215]丧{~失}[55]尚
k	[52]缸刚江光纲岗肛扛冈[21]港讲[215]钢杠降
kʰ	[52]康眶匡诓框筐慷[22]狂[55]旷眶况邝抗炕亢
h	[52]糠慌荒方芳[22]煌防皇行房航杭[21]坊纺仿访谎[215]项□{垫}[55]放
Ø	[22]昂
ye	
l	[215]略掠
tɕ	[55]掘撅
tɕʰ	[215]绝
ɕ	[215]穴□{扔掉}[55]恤
ȵ	[215]月
Ø	[215]岳阅粤
yĩ	
tɕ	[52]军菌均君钧尊遵樽[21]准[215]俊骏峻浚郡
tɕʰ	[52]春椿[22]存纯群裙醇唇[21]蠢
ɕ	[52]熏薰勋[22]巡循询旬[21]笋损[215]训顺瞬[55]逊迅殉讯
Ø	[52]晕[22]云芸匀[21]允[215]孕熨蕴运闰润
yɛ̃	
tɕ	[52]捐娟鹃绢涓[21]卷[215]倦眷隽
tɕʰ	[52]铅圈[22]全泉拳权醛诠颧[21]□{用舌头舔}[25]浅[215]券□{倔强}[55]劝
ɕ	[52]宣萱轩掀鲜{~甜}[22]悬旋玄[21]选癣[215]县炫
n	[25]软
Ø	[52]冤渊[22]元员丸沿园缘援猿袁媛源圆原[21]远[215]愿苑院怨
ɤŋ	
p	[52]崩绷[21]□{抱}[215]泵蹦
pʰ	[22]朋鹏蓬棚篷硼膨澎[21]捧[215]碰
m	[22]盟萌蒙朦[21]猛[215]梦孟
t	[52]东冬□{遮住}[21]董懂[215]栋冻
tʰ	[52]通[22]童铜同桐彤瞳[21]桶捅统筒[25]动[215]洞[55]痛
