来源：	韩昆瑜 2020《山西文水开栅方言语音研究》；Hynuza, Skanda 整理录入
Ø	［1］秧-{～子}羊{～儿}杨-{～树}扬-{～谷儿}［3］养-{～活}［5］样-{～儿}□{了：扔了}
#əu
t	［1］都{～城，～是}［3］堵赌肚{鱼～，猪～}笃［5］肚{腹～}妒度渡镀踱杜
tʰ	［1］徒屠途涂图□{～儿：样子，带有贬义}［3］土吐{～痰，呕～}［5］兔
n	［3］女={～子}
ts	［1］租祖={～先}猪诸诛蛛株朱硃珠［3］阻煮拄{～拐杖}主帚组［5］苎{～麻}著箸{筷子}助柱驻注住蛀铸
tsʰ	［1］除初锄={～头}厨雏粗={～心}□{～手：伸手}□{拟声词，形容放气声}［3］储{～蓄}褚{姓}楚礎{柱下石}处{相～}杵［5］处{～所}畜{～生}
s	［1］苏酥={绿豆～}锄{～地}梳{～头}疏{～远，注～}书舒枢输殊抒［3］暑鼠黍署{专～}薯{白～}数{动词}蔬［5］庶恕数{名词}竖戍树素={朴～}诉={投～}塑{～料}漱{～口}粟
ʐ	［1］如茹［3］汝儒乳辱［5］□{把东西递给某人}
k	［1］姑孤菇箍□{下巴～儿：下巴}［3］古估{～计}䀇{～子}股{一～}鼓□{～住：逼着}［5］故固雇顾
kʰ	［1］枯［3］苦［5］库裤酷
x	［1］呼胡湖狐壶乎胡夫肤跗{～面，脚面}敷俘{～虏}孵{～小鸡}麸{麦～子}符扶芙{～蓉}浮和{打麻将～了}蝠{夜蝙～}弧蝴［3］虎浒府腑俯甫斧抚釜腐辅否［5］户沪互护父付赋傅赴讣附妇负阜富副戽
Ø	［1］吴蜈{～蚣}吾梧{～桐}乌污坞无巫诬侮［3］五伍午武舞鹉{鹦～}［5］恶{恨，可恶}误悟务雾戊
#uɷ
p	［1］脯{～子}葡-{～萄}［3］补捕卜{～算子}堡-{～子}［5］部簿布步埠{商～}抱-{～一下}菢{～小鸡}怖
pʰ	［1］铺{～设}蒲{～扇}菩{～萨}仆{～人}葡={～萄牙}［3］谱普浦脯{果～}［5］铺{店～}扑={～克}
m	［1］模{～子}模{～范}毛-{起～～}谋［3］某亩牡母拇□{～娃子：婴儿}［5］暮慕墓募幕□{～牛：倔}牧
#ei
m	［3］每美［5］媚
#uei
l	［3］儡{傀～}累{～积}垒={堡～}［5］累{极困，连～}类泪
ts	［1］追槌{～子}锤{～子}锥［3］嘴［5］醉最缀{点～}赘坠
tsʰ	［1］崔{姓}吹炊垂［5］脆翠粹{纯～}
s	［1］随髓虽绥谁{你是～}［3］水□{摸～：摸}［5］岁税睡遂隧{～道}穗
ʐ	［5］芮{姓}锐瑞蕊
k	［1］圭闺规龟归［3］诡轨癸鬼［5］刽桂柜贵
kʰ	［1］傀{～儡}盔魁奎亏窥逵葵［5］溃{～败}跪愧匮
x	［1］麾非飞妃肥={～胖}挥辉徽［3］毁匪翡{～翠}晦［5］桧汇绘废肺吠惠慧贿秽痱{～子}费{～用}讳
Ø	［1］桅{船～杆}危为{作～}维惟唯微威违围［3］痿伪萎委尾={结～}伟苇{芦～}纬猬猥［5］卫为{～什么}位未味魏畏慰胃谓
#aɔ
p	［1］褒{～奖}包胞{双～胎}刨-{～地}雹［3］保堡={～垒}宝饱［5］抱={～蛋蛋：宝贝}报暴鲍{姓，～鱼}豹爆铇
pʰ	［1］抛袍剖刨={～根问底}［3］跑［5］泡炮{枪～}
m	［1］毛={～病}茅猫锚矛眊{圪～：看}［3］卯铆［5］冒帽貌茂贸
t	［1］刀叨{唠～}桃-{～儿}萄［3］稻={水～}导祷岛倒{打～，颠～}［5］道到倒{～水}盗
tʰ	［1］滔掏{～出来}桃={水蜜～}逃淘{～米}陶涛［3］讨稻-{～子}［5］套
n	［1］铙挠［3］脑恼［5］闹
l	［1］劳捞牢唠{～叨}痨{～气}［3］老佬栳{栲～～}姥［5］涝{旱～}烙骆酪
ts	［1］遭糟槽-{西～头，地名}朝{今～}召昭招沼{池～，～气}着{～急}凿□{脏}［3］早枣蚤澡爪{～牙}找□{眉头圪～：皱眉头}［5］皂={肥～}造{建～}躁灶糙{粗～}罩笊{～篱}赵兆焯{把菜放在开水里～～}照
tsʰ	［1］操{～作，～演}曹槽={马～}抄{略取，～写}钞{钱～}巢超朝{～代}潮［3］草炒={～菜}吵［5］皂-{～手：打肥皂}
s	［1］骚梢{树～}捎{～带}稍烧韶{～关}臊［3］扫{～地}嫂炒-{～面：用玉米、黄豆等原料炒热磨下的面}少{多～}晌{～午}［5］扫{～帚儿}潲{～雨}少{～年}绍邵□{彩虹，早～，晚～}□{凉～：形容很冷}□{～了：衣服掉色}
ʐ	［1］饶［3］扰绕{围～}绕{～线}［5］绕{～口令}
k	［1］篙{进船竿}高羔膏糕［3］稿搞［5］告
kʰ	［3］考烤拷［5］靠犒
ŋ	［1］熬鳌遨［3］袄□{折坏}［5］傲鏊{～子，烙饼用具}奥懊{～悔，～恼}
x	［1］蒿{蓬～}豪号{呼～}毫壕□{～地：荒地}薅嚎［3］好{～坏}［5］浩好{喜～}耗号{～数}孝-{～义村，地名}
Ø	［1］嗷
#iaɔ
p	［1］膘{肥胖}镖彪飙标［3］表裱
pʰ	［1］嫖{～赌}飘漂{～流}瓢［3］瞟漂{～白}［5］票{车～}漂{～亮}
m	［1］苗描［3］藐渺秒［5］庙妙
t	［1］刁貂雕条-{一～～}调-{～和}藋{灰～菜}［3］屌［5］钓吊掉调{音～，～动}
tʰ	［1］挑{～选}条={面～}调={～解}［3］挑{～战}［5］跳粜{～粮食}
l	［1］燎聊辽撩{～起来}僚寥疗［3］了{～结}［5］瞭料尥{马～蹶子}廖{姓}
tɕ	［1］交焦胶教{～书}跤蕉{芭～，香～}骄娇浇荞-{～麦}椒郊［3］绞狡铰搅矫缴{上～}侥{～幸}剿角={号～}饺={～子}茭{玉～子}［5］教{～育}校{～对}较窖觉{睡～}噍{牛倒～}轿叫
tɕʰ	［1］敲樵瞧乔侨桥荞={～麦}［3］巧雀-{～儿}［5］俏鞘{刀～}窍撬
ȵ	［1］□{形容人很高傲的样子，带贬义}［3］咬鸟痒［5］尿
ɕ	［1］消宵霄硝销嚣萧箫屑{木～}学-{～会}逍潇［3］小晓［5］孝={～顺}效校{学～}笑啸
Ø	［1］肴妖邀腰要{～求}摇谣窑姚尧幺{二三}吆{～喝}鼬{黄～}遥［3］淆舀{～水}杳{～无音信}［5］靿{靴～}要{想～，重～}耀跃-{大～进}
#əɤ
t	［1］兜头-{～发}［3］抖陡□{历～：历书}［5］斗豆逗□{～一～：散气味}
tʰ	［1］偷头={～儿：领导}投［5］透
n	［1］奴□{形容人娇气}［3］努□{胳～：胳膊肘}［5］怒
l	［1］楼庐{茅～，～山}卢芦{～苇}耧{～儿：播种用的农具}颅炉［3］鲁橹虏卤篓搂［5］路露鹭{～鸶}漏陋
ts	［1］稠-{饭很～}邹掫绉周州洲粥={八宝～}［3］走肘轴={～承}祖-{～宗}［5］奏纣桀{～昼}宙皱骤咒
tsʰ	［1］抽绸稠={粘～}筹愁={借酒浇～}仇酬粗-{～细}［3］丑瞅［5］醋凑臭{香～}
s	［1］愁-{发～}搜飕馊{饭～了}搜{～集}收酥-{可～了}［3］叟手首守［5］素-{～肉}嗽{咳～}瘦受兽寿授售
ʐ	［1］柔揉［5］肉
k	［1］勾{～子}钩沟勾{～当}［3］狗苟枸［5］够{往上～}构购
kʰ	［1］抠［3］口［5］扣{～住}寇叩{～头}
ŋ	［1］欧殴［3］藕偶{配～，～然}呕{～吐}□{～人，坏人}□{食物烧糊了}［5］沤{久浸水中}怄{～气}
x	［1］猴侯瘊{～子}喉［3］吼［5］厚后候
#iəɤ
t	［1］丢
l	［1］流刘留榴{石～}硫{～黄}溜馏琉遛［3］柳［5］六={～个}□{～籽子：用手抓上种子往地里洒}□{一～～：一行或一列}
tɕ	［1］揪{一把～住}鸠阄{抓～}纠{～缠}究蹴{圪～}纠{～正}［3］酒九久韭灸{针～}［5］就臼舅咎救旧柩
tɕʰ	［1］秋{～天，～千}囚丘求球蚯
ȵ	［1］牛妞［3］纽扭［5］□{犟}
ɕ	［1］修羞休［3］朽［5］秀绣宿{星～}锈{铁～}袖嗅
Ø	［1］忧优尤邮由油游犹悠幽［3］有友酉［5］诱又右祐柚釉幼
#æ̃i
p	［1］般搬盘-{～～碟碟}［5］伴拌半绊
pʰ	［1］潘盘={拼～}［5］判叛
m	［1］瞒馒{～头}蔓{～菁}［3］满［5］漫{水～金山}幔
n	［1］黏鲇{～鱼}［3］碾{～一下}［5］碾{～儿}
ts	［1］沾粘{～贴}毡［3］展［5］占{～卜}占{～领}战颤{打～}
tsʰ	［1］缠蝉禅{～宗}［3］□{～受：样子，带贬义}［5］颤{～抖}
s	［1］扇{～风}□{快速通过}［3］陕{～西}闪［5］扇{～子}禅{～让}善膳单{姓}膻
ʐ	［3］染冉然燃
k	［1］甘柑泔{～水}干{～妈}肝竿{竹～}干{～湿}杆{～子}□{牙～：牙垢}［3］感敢橄{～榄}杆{一～笔}秆{高粱～儿}擀{～面}赶［5］干{～活}
kʰ	［1］看{～守}龛{佛～}［3］坎砍□{～了：扔了}［5］看{～见}
ŋ	［1］庵安鞍［3］□{捂住}［5］揞{手握，～住}暗按案岸
x	［1］酣韩寒鼾［3］罕［5］旱汉汗焊{～铁壶}翰
#iẽi
p	［1］鞭编边［3］贬蝙={～蝠}扁={～豆}匾［5］便{完成，方～}辨辩变汴辫遍{一～，～地}
pʰ	［1］偏便{～宜}［3］片篇［5］□{～柴：砍柴}骗□{～瓦：比较平的瓦}
m	［1］绵棉眠{安～}［3］免勉娩{分～}缅渑{～池}眠{睡～}［5］面
t	［1］掂{～掇}甜-{～～水}颠田-{～家堡，地名}填-{～进去}滇癫［3］点典［5］店电殿奠佃垫{～钱}惦甸
tʰ	［1］添甜={～蜜}天田={油～}填={～空}［3］舔腆{～肚子}
l	［1］帘廉连莲联={～系}怜镰［3］敛脸［5］链殓练炼恋{～爱}
tɕ	［1］尖歼{～灭}兼煎钱-{～儿，人民币}笺前-{～头}坚［3］减={～少}钳-{夹～}检俭剪捡拣［5］渐剑践犍{～牛}件箭溅{～一身水}饯{～行}键建健腱荐见毽
tɕʰ	［1］签潜钳={～子}谦迁钱={姓}乾{～坤}虔千前={以～}牵［3］浅遣谴［5］欠歉嵌
ȵ	［1］年研［3］撚{以指～碎}撵辇［5］酽{～茶}念砚
ɕ	［1］杴锨仙鲜{～美}掀先贤弦□{门～～：门槛}涎［3］险鲜{新～}鲜{～少}癣显［5］线羡宪献现县□{赖～了：表示程度很重，带贬义}
Ø	［1］严岩阉炎盐阎檐腌={～菜}颜={～料}蔫{食物不新鲜，花萎}焉{心不在～}延{～长}言烟燕{～京，姓}沿芫{～荽}胭［3］掩靥{笑～}俨演□{黑～：痣}兖［5］验厌艳焰晏{晚也}延{～安}筵谚堰燕{～子}宴雁={大～}咽
#uæ̃i
t	［1］端［3］短［5］断{决～，～绝}锻{～炼}段缎椴□{追赶}
tʰ	［1］团
n	［3］暖
l	［1］鸾联-{苏～}［3］卵□{掐}［5］乱
ts	［1］钻{动词}椽{～儿}专砖［3］转{～钱}［5］钻{木工用具}纂{编～}传{～记}转{～圆圈}篆
tsʰ	［1］汆{～丸子}传{～达}川穿船［3］喘［5］窜串
s	［1］酸［5］算蒜
ʐ	［3］软阮
k	［1］官观{参～}棺冠{衣～}［3］管馆［5］贯罐观{寺～}灌冠{～军}
kʰ	［1］宽［3］款
x	［1］欢［3］缓［5］唤焕换
Ø	［1］玩{古～，游～}完丸{肉～，弹～}豌{～豆}剜［3］宛皖{安徽}碗［5］腕
#yẽi
tɕ	［1］泉-{～～水}捐［3］卷{～起}［5］圈{猪～}眷卷{～子}绢倦券-{～儿}
tɕʰ	［1］全泉={龙～，地名}圈{圆～}拳权颧{～骨}［3］犬［5］劝券={证～}
ɕ	［1］轩宣旋{～转}喧玄悬［3］选［5］镟楦{鞋～}眩旋{～吃～做}
Ø	［1］圆辕缘袁元冤园员援{～救}原渊源［3］远［5］院愿怨
#ɑŋ
p	［1］班斑颁扳帮={～手}邦［3］板版扁-{～担}榜绑={～架}膀={光～子}［5］扮瓣办谤傍棒={～～糖}蚌浜
pʰ	［1］攀滂旁螃{～蟹}庞［5］胖={肥～}盼襻{纽～}
m	［1］蛮芒={～果}茫盲［3］莽蟒［5］慢蔓{～延}漫{～山遍野}
t	［1］耽担{～任}丹单{～独}弹-{～棉花}当{应～}铛{铃～}□{～起来：抬起来}［3］胆掸{鸡毛～子}党挡={～风玻璃}疸{黄～}［5］淡担{～子}诞旦但弹{子～}蛋当-{上～}荡-{扫～}宕□{～过去：跨过去}
tʰ	［1］贪潭谭坍{～下来}谈痰滩摊檀坛弹={～琴}汤={～圆}堂棠螳{～螂}唐糖={棉花～}塘［3］毯坦倘{～使}［5］探{试～，侦～}炭叹趟碳□{往上够}
n	［1］南男难{～易}囊{～肿}［3］囊{气～}［5］难{患～}□{～进的：陷进泥沼中}
l	［1］漤{～柿子，～菜}蓝篮兰拦栏郎廊蜋岚［3］览揽榄{橄～}缆懒朗［5］滥烂浪={～费}
ts	［1］瞻簪蚕-{～儿}赃脏={～话}张={姓}章樟□{～沙：雀斑}［3］斩盏攒{积～}长={班～}掌［5］站{～立，车～}蘸{～酱油}赞绽{破～}栈葬藏{西～}仗杖帐={～篷}账={转～}胀={膨～}障{保～}
